selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status
283,cex_7a8dfc53274becceb7ea7f85,doc_a272944429edd8ef95dd4448,ttd_5cdc5c0224485393f57bd8f9,pr_f8e697330a72e679f2492768,sr_dd172d3771e214914ba50677,NSCQ-MT-20260720-0010,TRI-69e7f600c9e83676ba3a,VER-278ffa590eaafe3875f9,MT,Great Falls,CITY OF GREAT FALLS,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0398_sr_dd172d3771e214914ba50677.pdf,f91fef254c520cceee9529c9ee30918687f459d662b228b4bed45ab2fd5e1012,46,present,likely,p1,"2,11,16,21,24,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4a9985bce2284b41ec2ce770,yes,cex_7a8dfc53274becceb7ea7f85,mixed,,,0,frozen
284,cex_ad7f5c422f9d6418a27c898f,doc_402b0152c8ef9aa650d89957,ttd_215d81ff29a04f7c400fc0b2,pr_4f5cfbc597777715edf48fea,sr_e9ad5c6322946be86acbc110,NSCQ-MT-20260720-0008,TRI-2d7d1124a8594cf80288,VER-c0d9c56c39b60e57a4b4,MT,Great Falls,CITY OF GREAT FALLS,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0182_sr_e9ad5c6322946be86acbc110.pdf,3f1fc36206330390d3e53e2d3e6ddbaa253765b7b347b10ab792744693bb483d,32,present,likely,p1,"2,4,8,11,15,17,18",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4a9985bce2284b41ec2ce770,yes,cex_7a8dfc53274becceb7ea7f85,mixed,,,0,frozen
285,cex_a77466ed39cd0e75324d91ec,doc_4c78b008da2ea74e7c931fbb,ttd_2047a754a1d91125bc9b9260,pr_1a661b60fd0ee1095ba82eea,sr_1f90d83fb5b164600507a048,NSCQ-MT-20260720-0021,TRI-03139eecc19644cf5fa5,VER-29d9609f8eefd72b7df9,MT,Kalispell,CITY OF KALISPELL,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0061_sr_1f90d83fb5b164600507a048.pdf,609cc34f714ef24111f8296b77e58900e115a9302138393dd95ac3718e61ed90,22,present,likely,p1,"2,6,8,12,13,21,22",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_98bc59021b4ef8b37555a6a8,yes,cex_2a077e71191385e92b633afe,mixed,,,0,frozen
286,cex_2a077e71191385e92b633afe,doc_aed43c8f9f8b3eb2a84f3d35,ttd_c6dbf96a2c31389794e84bb1,pr_385d9e1c5ad4e9ae85b9ea6b,sr_101d64b4de5175a63f7b20a3,NSCQ-MT-20260720-0022,TRI-634656acb9b5ffb22c46,VER-f3da8362ea71c1e6ea01,MT,Kalispell,CITY OF KALISPELL,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_101d64b4de5175a63f7b20a3.pdf,f30a827ca7afc180d51f86bbf4bbf6d918301ec1f56855ff82511ced96f5b0dc,30,present,likely,p1,"4,29,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_98bc59021b4ef8b37555a6a8,yes,cex_2a077e71191385e92b633afe,mixed,,,0,frozen
287,cex_88c7246be86ef029ee9ffdb6,doc_4a9b165f460020e364a5c569,ttd_20e6d556de8e2533ec8b0a6b,pr_26401ffbf2c19ed9a42f1248,sr_710af0ea4068fac7e2b7f3c0,NSCQ-MT-20260720-0043,TRI-7933ccba5e8734b72b80,VER-efa3698e92851425b581,MT,Whitefish,CITY OF WHITEFISH,non_safety,ordinance_or_policy,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0500_sr_710af0ea4068fac7e2b7f3c0.pdf,ecc2efd18223431443231157ae2f35820a6a194813309c86628cc19dba932ed4,72,partial,possible,p2,"2,9,17,25,40",74.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,qual_mechanism_ready,high,2,frozen
288,cex_cba212433b28e2332af5a304,doc_07c571f514fbd5c8dcddfce1,ttd_f03426b4892b87d38a790bf0,pr_8e32053d4a2f4b5aa0eddc74,sr_f071e09d1c895d37c9cd1ec3,NSCQ-MT-20260720-0042,TRI-d1600e4aa41b2fa4473a,VER-a0fa4170904b7839f0a5,MT,Whitefish,CITY OF WHITEFISH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0084_sr_f071e09d1c895d37c9cd1ec3.pdf,8b4032e9de84d04dc45a70ca88fae2297ba18bed74712fc5f5b5057207cb33e7,15,present,likely,p1,"2,6,7,8,14,15",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,,,0,frozen
289,cex_b6605fd61e2b4c4900508ccc,doc_fae75c03baa92b699afd7556,ttd_ebae2ef4b0db0e395ab34163,pr_1c9e194b79585a2623c288b9,sr_ff98ef097e4e3d7fad24a658,NSCQ-MT-20260720-0041,TRI-375e4a63a385c4db1bdd,VER-c4c4ee87335315f004a8,MT,Whitefish,CITY OF WHITEFISH,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0234_sr_ff98ef097e4e3d7fad24a658.pdf,e8d4a15340426ec8c4135aa0dd5642888d6bafba8fc858cb9d4019795cb343ab,16,partial,likely,p1,"2,6,8",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4867425d67dcc0f69adf188f,yes,cex_88c7246be86ef029ee9ffdb6,mixed,,,0,frozen
290,cex_ac7f0dc61e465dc39972f6c8,doc_00a5e237175d41f61fb0fe40,ttd_00db69e7e7d1ac5ff95dc5ad,pr_d0661a96e1474a0c2a1e11be,sr_c98e0a0b1ee43b114fbab537,NSCQ-NE-20260720-0028,TRI-48c1d4402a6508cbed49,VER-8346ffc460dc1ea3b1c3,NE,Beatrice,CITY OF BEATRICE,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0058_sr_c98e0a0b1ee43b114fbab537.pdf,7afe4e7eb0ad048ad9742a043b9fde7abc818f56b27cc501d96752fc67fe8401,31,present,possible,p2,"8,30,31",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen
291,cex_44df6e0011dd33cae7cc142b,doc_62a3b5ea2758ef8e4f764ce4,ttd_66c61831af5bbd01fa5e3a23,pr_c6ced6824bec0d9b0d9fe7fa,sr_c5b38c45bdcebf19d8b8c190,NSCQ-NE-20260720-0029,TRI-a5471376b749497aad15,VER-82da3ec6d25060ac8425,NE,Beatrice,CITY OF BEATRICE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0093_sr_c5b38c45bdcebf19d8b8c190.pdf,36cb74a790208e6c1007b74af4e936c25898bace6bc9714bb60da60104ecf92a,36,present,likely,p1,"13,17,19,20,35,36",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen
292,cex_470cfefab424214bb4fbdc85,doc_f3f2ae6df6a41757ebb9d1a1,ttd_53591d16961a80c4e322d24f,pr_9349feb01e22dad0bccaad28,sr_25ce75fc274bb14776ba5d6d,NSCQ-NE-20260720-0026,TRI-d60b39f2f5872b9ac71f,VER-00f232b91b6bd428e192,NE,Beatrice,CITY OF BEATRICE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0374_sr_25ce75fc274bb14776ba5d6d.pdf,65f917c6eb90e47320428a2c8cb3afa513d16b662a14414497a9657fa4df9741,42,present,likely,p1,"15,24,42",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_9fe90f12a3e4a38ca370fcbd,yes,cex_44df6e0011dd33cae7cc142b,quantitative,,,0,frozen
293,cex_b9d47fd2cc477ae8962aab4f,doc_c090341bff76e0bfd00ee397,ttd_5ba6700e26959d2d235f56c5,pr_24fde6bdb8a18daec7cd5fe8,sr_085e00e9c5537c6e4fe3c8f9,NSCQ-NE-20260720-0031,TRI-0e77eca0e3712c6b9de8,VER-ded0cbbc570585cc9020,NE,La Vista,CITY OF LAVISTA,non_safety,ordinance_or_policy,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0469_sr_085e00e9c5537c6e4fe3c8f9.pdf,e6766d3e2ab16669085957c6188e879c18a2468552c9a7ac95254d7e2fe7347c,9,present,likely,p1,"1,2,3,4,5,6,7,9",92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_52a67572f750df13a06c0a51,yes,cex_b9d47fd2cc477ae8962aab4f,mixed,mixed_quant_qual_ready,high,3,frozen
294,cex_55a4686f305f50ca82689d7b,doc_5c07cf7f3dc531cfe79427f2,ttd_726010162891f9249fa001eb,pr_530cc260a08abbd438c9818f,sr_276eadd5967a39a172cde88e,NSCQ-NE-20260720-0030,TRI-970a027021320bd9ce0e,VER-7032ed19063e30b5538c,NE,La Vista,CITY OF LAVISTA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0128_sr_276eadd5967a39a172cde88e.pdf,2212c6a365839373c04d06fec97aa3022c2bff3a7d55898dc21bbc92fd76b564,43,present,likely,p1,"1,6,20,42",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_52a67572f750df13a06c0a51,yes,cex_b9d47fd2cc477ae8962aab4f,mixed,,,0,frozen
295,cex_a02ff14c6dec91662c76afe7,doc_7edb93c0a3e256471f02cec0,ttd_1fedddec5406ca00cb97588e,pr_e0ba7c8afb74e09c7bf4ebdb,sr_59aa0a3304588378022a35f0,NSCQ-NE-20260720-0005,TRI-8d9db8d50596f17b18cc,VER-583a7647de5f824b5a24,NE,Lincoln,CITY OF LINCOLN,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0159_sr_59aa0a3304588378022a35f0.pdf,94e9a9a38438d9d5a70e3f97efc196d2a5f9270caf73a42e076164c5dba2b10d,76,partial,possible,p2,"2,18",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_5d5126907306a380ad18c0c6,yes,cex_e41c7293b5969c7e91e1d912,mixed,,,0,frozen
296,cex_e41c7293b5969c7e91e1d912,doc_b16241db28589c4e765c0ab2,ttd_21eba94afa5e8a2f7ff8dc3b,pr_5bfb4ee2342ba4fe2347d37c,sr_9d36d1f7ba0c515cd33376e1,NSCQ-NE-20260720-0006,TRI-5f5cebcdeb9788e2a4b7,VER-87d7c80babe9530aa5e0,NE,Lincoln,CITY OF LINCOLN,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0187_sr_9d36d1f7ba0c515cd33376e1.pdf,59ecdc4d5b3029b6aa19162c873e2464fa259882d289dc3917cba6231bb591df,88,present,likely,p1,"11,20,40,45,49,87",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_5d5126907306a380ad18c0c6,yes,cex_e41c7293b5969c7e91e1d912,mixed,,,0,frozen
297,cex_f87cadbd70fb03e0654f6397,doc_b221a3452660b978c7cf7163,ttd_29b26b5204b822f09ed55ed0,pr_3bfaf6708ee68f08a695f477,sr_e9d48148f319262a34283bad,NSCQ-NE-20260720-0003,TRI-26f67e057dd2dcf60cbe,VER-492c5cc5b04a6a189362,NE,Lincoln,CITY OF LINCOLN,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0066_sr_e9d48148f319262a34283bad.pdf,257f8582e384691d7ac5f19f3525a7d2fb7698a74a92e12d662cb1ee9f8b26b7,68,present,likely,p1,"38,67,68",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_5d5126907306a380ad18c0c6,yes,cex_e41c7293b5969c7e91e1d912,mixed,,,0,frozen
298,cex_0c0babde88704f9779512216,doc_2feffae88b65c2dd5141b102,ttd_523538ddd922654cd599ccd6,pr_c2d1cd5e070ec453cf21672f,sr_91cf92dd468b323ebd5ea0a7,NSCQ-NE-20260720-0004,TRI-625e74ed03751d18dd0a,VER-2e871a85e8dbcf0f18d6,NE,Lincoln,CITY OF LINCOLN,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0023_sr_91cf92dd468b323ebd5ea0a7.pdf,26f97ddf41086f07718442c4355ea99afcb6fdfdb6e6bb370fab5f82526cc9ef,73,present,likely,p1,"9,25,33,72,73",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_5d5126907306a380ad18c0c6,yes,cex_e41c7293b5969c7e91e1d912,mixed,,,0,frozen
299,cex_578cdbc3b7c824de35d07436,doc_87a467a6941b9b6b2d92bd45,ttd_4b9d9630998bb66bf89f7e78,pr_7aed976a7c57b2cd98fc986b,sr_2b50aa9260bba21d78b8a93f,NSCQ-NE-20260720-0021,TRI-e9769711889314066feb,VER-11d2b4eeff05cc6f3269,NE,Papillion,CITY OF PAPILLION,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0066_sr_2b50aa9260bba21d78b8a93f.pdf,f3f6c31d433f180739525183a39c1b3edba1f0ecd3f5f63d87a4df3b165524c9,168,present,likely,p1,"1,2,57,94,168",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_82a8e0fb43b6c8f72bc2974d,yes,cex_cee255168d800981c6d73c2c,mixed,,,0,frozen
300,cex_cee255168d800981c6d73c2c,doc_aead81821093ef1cd4b055b4,ttd_a37465f3ec6e7cc30df42632,pr_5379a0f880d0114cceaa7773,sr_7ebc1637b23126b4385ddffb,NSCQ-NE-20260720-0022,TRI-4472630e7790a3f6fbb2,VER-25157f1c5928106932ea,NE,Papillion,CITY OF PAPILLION,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0029_sr_7ebc1637b23126b4385ddffb.pdf,0458930bb3cbca3812064e6a7b662003a6ff3f6c2a65af1be091fb8c5b89d53c,174,present,likely,p1,"1,2,78,88,173,174",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_82a8e0fb43b6c8f72bc2974d,yes,cex_cee255168d800981c6d73c2c,mixed,,,0,frozen
301,cex_2a698c93cb3561f914731b47,doc_71d06f612a5c10486b861d30,ttd_47f8e70350f3951ca597143e,pr_7f42143fb8eae63cdf60a10d,sr_09e203b068f93a9f90405a6e,NSCQ-NE-20260720-0019,TRI-a0dc94a849a1f649d353,VER-6e1b3036addbbf19ead5,NE,Papillion,CITY OF PAPILLION,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0023_sr_09e203b068f93a9f90405a6e.pdf,5721d30e1eac7afcc4837e172c562e16707272e925977a83682d4b7586d75c2d,239,present,likely,p1,"1,2,54,80,120,133,238,239",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_82a8e0fb43b6c8f72bc2974d,yes,cex_cee255168d800981c6d73c2c,mixed,,,0,frozen
302,cex_b86d615460d6a6076ea49d97,doc_9578de3212e268ac28ba8f00,ttd_ed2add4e07da87bd068ceac2,pr_a1f9338011d7cb0b2d0424fb,sr_1cdb4824aa5e72ab6f8f3aee,NSCQ-NH-20260720-0029,TRI-36e3c18f71ae7d7f1445,VER-8bbda6ec1503beb97aa4,NH,Claremont,CITY OF CLAREMONT,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0380_sr_1cdb4824aa5e72ab6f8f3aee.pdf,fd739b2cb25f6aaf9b63411699adcafd7cf78579b967ada71c2a9ba15be03b3b,43,present,possible,p2,24,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_aeea04846172a23d7826fb8f,yes,cex_199b4f19d28d0d021c8f9842,mixed,,,0,frozen
303,cex_199b4f19d28d0d021c8f9842,doc_89e3a17057a0483d6959dc32,ttd_167e609a4354e0e60a1e610e,pr_fc8dcc46b068fb7196488bec,sr_1505a6b162f9d0d54e8cab66,NSCQ-NH-20260720-0030,TRI-4e08632715023e04b6f4,VER-131eee448a89a42e857c,NH,Claremont,CITY OF CLAREMONT,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0413_sr_1505a6b162f9d0d54e8cab66.pdf,f6f61bb0bc1402677014f43c73d11af22846d1586b029a08fd052a82b59b76ad,46,present,possible,p2,"21,24,26,46",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_aeea04846172a23d7826fb8f,yes,cex_199b4f19d28d0d021c8f9842,mixed,,,0,frozen
304,cex_953d39fef5331a93c2552bca,doc_a9829e773274d4a3ab6b75a3,ttd_7650f3a9afe5c0170a568e5c,pr_e6efc6653a19f5e5e948c3cb,sr_b6b6c021ecbdb5f01d6153a7,NSCQ-NH-20260720-0028,TRI-1cc7525121b10c16138d,VER-89fce49f50cf1a6acd91,NH,Claremont,CITY OF CLAREMONT,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0396_sr_b6b6c021ecbdb5f01d6153a7.pdf,af95c5843dee2a7ae17c2d2f7120fdbdb1609e9080b3c8b8b42f587e6e9f55b0,66,present,possible,p2,"15,37,66",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_aeea04846172a23d7826fb8f,yes,cex_199b4f19d28d0d021c8f9842,mixed,,,0,frozen
305,cex_f7e1ffb88a98dca15b3b31ed,doc_20cebb821e53a7b2d18c037d,ttd_bd3711b6fcca034fd7440c04,pr_fd68eb12cec1c8f58c5b3202,sr_beca2c6f925f1f106b4960f9,NSCQ-NH-20260720-0016,TRI-89a3591ecde28ed8ef10,VER-72f99902d51324774c12,NH,Dover,CITY OF DOVER,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0155_sr_beca2c6f925f1f106b4960f9.pdf,3a76f2e690cf7402c6d7d919337f34e6409c1a8078e0fc04818fb7dcc43fdebe,41,present,likely,p1,"2,10,19,21,23,41",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_18647064d477094e10f40b65,yes,cex_b57cdda4f0119a7aef3c0107,mixed,,,0,frozen
306,cex_e1e31b43eae1926aee6d279b,doc_b2fbde7c3e0fbae625107481,ttd_cb5cfe58764d4d9f73c6790f,pr_3e20747912dec111cb54c197,sr_13ae2a66730c336002ab1547,NSCQ-NH-20260720-0017,TRI-81b6599e1394dabf96f8,VER-9d1094d722fd04e0a2ec,NH,Dover,CITY OF DOVER,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0235_sr_13ae2a66730c336002ab1547.pdf,3656d6c000b9c2a85394819ac278b44cbea8e9e9b9bf01471fd73e47b5be61b9,41,present,possible,p2,,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_18647064d477094e10f40b65,yes,cex_b57cdda4f0119a7aef3c0107,reference_and_exclusion,,,0,frozen
307,cex_b57cdda4f0119a7aef3c0107,doc_0325899cb21bd9f00b728eb8,ttd_d91e66364052f0c0ae10c962,pr_b2b305e8c40507badb879338,sr_5e79d0a78c7dc124f2fa368b,NSCQ-NH-20260720-0019,TRI-5fdda88d93f78adfb826,VER-78f3d8eb608cd9c4e78f,NH,Dover,CITY OF DOVER,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0009_sr_5e79d0a78c7dc124f2fa368b.pdf,663d7edd8509bbf2eeb4024f30e87696d148511c16a968a3a1c61347dcdf8f3a,39,partial,likely,p1,"2,5,9,18,20",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_18647064d477094e10f40b65,yes,cex_b57cdda4f0119a7aef3c0107,mixed,,,0,frozen
308,cex_2be6e05fcb95f380bab53b06,doc_45832ee7139ea623695f1eb5,ttd_b02f9557a3d91468073b494d,pr_5b194c185bc613887afc691a,sr_d76be50469b0a9eecb9181fb,NSCQ-NH-20260720-0015,TRI-addbe71be818743cf988,VER-51c6513b8f4ff14c8175,NH,Dover,CITY OF DOVER,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0030_sr_d76be50469b0a9eecb9181fb.pdf,09e542f885cd0b6644edfc65553d3cb4657092245b83acb3fc0ad0473852ab3e,37,present,possible,p2,"2,9,13,36",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_18647064d477094e10f40b65,yes,cex_b57cdda4f0119a7aef3c0107,mixed,,,0,frozen
309,cex_0d1666d1a4f2e5dd7d830c97,doc_30ea8d7d8c0088f8105e2a1a,ttd_a6febd4668dafae0582e571b,pr_a14b287b8673413f333dc215,sr_138c67caf868e8c3927ac58f,NSCQ-NH-20260720-0014,TRI-f58de831e3881c938f85,VER-9b0ffd76a4d2d457209e,NH,Dover,CITY OF DOVER,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0124_sr_138c67caf868e8c3927ac58f.pdf,a409f07380250ad1437b34a67faca47a53d790e89aefd25d4ef19240b6e1c15c,41,present,possible,p2,"2,14,19,23,41",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_18647064d477094e10f40b65,yes,cex_b57cdda4f0119a7aef3c0107,mixed,,,0,frozen
310,cex_20342df70b4375b7d1c4b8bd,doc_207625bb2682090c9bcde550,ttd_3fc09fd0669f66404791ba69,pr_308433ebae4ae2523ec5bc6f,sr_c52a1c35a88042471bb527f8,NSCQ-NH-20260720-0003,TRI-4afd962398372863e85a,VER-1ba26bceb255223c79d3,NH,Manchester,CITY OF MANCHESTER,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0054_sr_c52a1c35a88042471bb527f8.pdf,c0272cc9d3100b19f24fa29518b4dcd67273d7b5eafffe3db9ee0aba11356d2b,90,present,likely,p1,"2,21,46,50",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_54e539778342bdb6290a38eb,yes,cex_c66b26697d7dc1bb10f67827,mixed,,,0,frozen
311,cex_c66b26697d7dc1bb10f67827,doc_6d5374d0abcd7a7a39975107,ttd_6ab1c276c91523ffbf2f6edf,pr_dec6458bf1b1a18fcc7dac03,sr_de5efec502645b0ae9b29462,NSCQ-NH-20260720-0004,TRI-d7a3d21c6284d9f44fa4,VER-198d0291d62e95144ab8,NH,Manchester,CITY OF MANCHESTER,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0025_sr_de5efec502645b0ae9b29462.pdf,abf16c85da10d5eea4aa1b85cfbdb4580e65da40c33ce46bd2d4a65f6d1c7d32,77,present,likely,p1,"2,9,18,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_54e539778342bdb6290a38eb,yes,cex_c66b26697d7dc1bb10f67827,mixed,,,0,frozen
