municipality,municipality_id,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Rockville,cog_2025_208506,MN,Midwest,Stearns County (27145; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Rothsay,cog_2025_106929,MN,Midwest,Wilkin County (27167; primary); Otter Tail County (27111),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Royalton,cog_2025_208490,MN,Midwest,Morrison County (27097; primary); Benton County (27009),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sandstone,cog_2025_138629,MN,Midwest,Pine County (27115; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Scandia,cog_2025_219537,MN,Midwest,Washington County (27163; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Spicer,cog_2025_167515,MN,Midwest,Kandiyohi County (27067; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Spring Park,cog_2025_138602,MN,Midwest,Hennepin County (27053; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Springfield,cog_2025_167412,MN,Midwest,Brown County (27015; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stacy,cog_2025_204741,MN,Midwest,Chisago County (27025; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stockton,cog_2025_106931,MN,Midwest,Winona County (27169; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wakefield,cog_2025_168444,MN,Midwest,Stearns County (27145; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Walker,cog_2025_204740,MN,Midwest,Cass County (27021; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Watab,cog_2025_167766,MN,Midwest,Benton County (27009; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Welcome,cog_2025_211364,MN,Midwest,Martin County (27091; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
White,cog_2025_129073,MN,Midwest,St. Louis County (27137; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
White Bear,cog_2025_168316,MN,Midwest,Ramsey County (27123; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Winnebago,cog_2025_167465,MN,Midwest,Faribault County (27043; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Airport Drive,cog_2025_168940,MO,Midwest,Jasper County (29097; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Alba,cog_2025_186238,MO,Midwest,Jasper County (29097; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Archie,cog_2025_107597,MO,Midwest,Cass County (29037; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ash Grove,cog_2025_107624,MO,Midwest,Greene County (29077; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Auxvasse,cog_2025_129463,MO,Midwest,Callaway County (29027; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bertrand,cog_2025_169000,MO,Midwest,Mississippi County (29133; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bethany,cog_2025_129505,MO,Midwest,Harrison County (29081; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bloomfield,cog_2025_107729,MO,Midwest,Stoddard County (29207; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bloomsdale,cog_2025_129606,MO,Midwest,Ste. Genevieve County (29186; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Braymer,cog_2025_208601,MO,Midwest,Caldwell County (29025; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Brookfield,cog_2025_168974,MO,Midwest,Linn County (29115; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Brunswick,cog_2025_129476,MO,Midwest,Chariton County (29041; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Buckner,cog_2025_168923,MO,Midwest,Jackson County (29095; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Buffalo,cog_2025_107612,MO,Midwest,Dallas County (29059; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Byrnes Mill,cog_2025_168944,MO,Midwest,Jefferson County (29099; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cabool,cog_2025_129619,MO,Midwest,Texas County (29215; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Canton,cog_2025_168966,MO,Midwest,Lewis County (29111; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Castor,cog_2025_190701,MO,Midwest,Stoddard County (29207; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Clarkson Valley,cog_2025_138858,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Claycomo,cog_2025_186224,MO,Midwest,Clay County (29047; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Desloge,cog_2025_169107,MO,Midwest,St. Francois County (29187; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Drexel,cog_2025_168834,MO,Midwest,Cass County (29037; primary); Bates County (29013),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Duenweg,cog_2025_204824,MO,Midwest,Jasper County (29097; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Edina,cog_2025_208626,MO,Midwest,Knox County (29103; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
El Dorado Springs,cog_2025_168841,MO,Midwest,Cedar County (29039; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Fairfax,cog_2025_168783,MO,Midwest,Atchison County (29005; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Foristell,cog_2025_169100,MO,Midwest,St. Charles County (29183; primary); Warren County (29219),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Gainesville,cog_2025_169041,MO,Midwest,Ozark County (29153; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Golden City,cog_2025_168796,MO,Midwest,Barton County (29011; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Granby,cog_2025_208635,MO,Midwest,Newton County (29145; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Grand River,cog_2025_169294,MO,Midwest,DeKalb County (29063; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Green City,cog_2025_129615,MO,Midwest,Sullivan County (29211; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Green Park,cog_2025_138859,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Greendale,cog_2025_204836,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hermitage,cog_2025_129508,MO,Midwest,Hickory County (29085; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Highlandville,cog_2025_129480,MO,Midwest,Christian County (29043; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hillsboro,cog_2025_168943,MO,Midwest,Jefferson County (29099; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Holt,cog_2025_129481,MO,Midwest,Clay County (29047; primary); Clinton County (29049),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Huntsville,cog_2025_169084,MO,Midwest,Randolph County (29175; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ironton,cog_2025_129513,MO,Midwest,Iron County (29093; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Jamesport,cog_2025_204821,MO,Midwest,Daviess County (29061; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Knob Noster,cog_2025_208625,MO,Midwest,Johnson County (29101; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
La Belle,cog_2025_186241,MO,Midwest,Lewis County (29111; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lakeshire,cog_2025_169135,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lawson,cog_2025_190684,MO,Midwest,Ray County (29177; primary); Clay County (29047),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Loch Lloyd,cog_2025_215762,MO,Midwest,Cass County (29037; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Loma Linda,cog_2025_169023,MO,Midwest,Newton County (29145; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Marthasville,cog_2025_129623,MO,Midwest,Warren County (29219; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Merriam Woods,cog_2025_107735,MO,Midwest,Taney County (29213; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Moscow Mills,cog_2025_129532,MO,Midwest,Lincoln County (29113; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Mount Pleasant,cog_2025_169235,MO,Midwest,Bates County (29013; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Mount Vernon,cog_2025_168962,MO,Midwest,Lawrence County (29109; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
New Florence,cog_2025_129548,MO,Midwest,Montgomery County (29139; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
New Madrid,cog_2025_129552,MO,Midwest,New Madrid County (29143; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oakland,cog_2025_169141,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oran,cog_2025_169174,MO,Midwest,Scott County (29201; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Oregon,cog_2025_129511,MO,Midwest,Holt County (29087; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Orrick,cog_2025_169088,MO,Midwest,Ray County (29177; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pagedale,cog_2025_202068,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Perry,cog_2025_107692,MO,Midwest,Ralls County (29173; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pierce City,cog_2025_168963,MO,Midwest,Lawrence County (29109; primary); Barry County (29009),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Piney,cog_2025_169384,MO,Midwest,Texas County (29215; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Riverside,cog_2025_169065,MO,Midwest,Platte County (29165; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Salisbury,cog_2025_208606,MO,Midwest,Chariton County (29041; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Senath,cog_2025_129496,MO,Midwest,Dunklin County (29069; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Seymour,cog_2025_169217,MO,Midwest,Webster County (29225; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sherrill,cog_2025_190703,MO,Midwest,Texas County (29215; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Southwest City,cog_2025_107662,MO,Midwest,McDonald County (29119; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sparta,cog_2025_208608,MO,Midwest,Christian County (29043; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
St. James,cog_2025_193641,MO,Midwest,Phelps County (29161; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
St. Martins,cog_2025_168863,MO,Midwest,Cole County (29051; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stockton,cog_2025_190668,MO,Midwest,Cedar County (29039; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stover,cog_2025_129549,MO,Midwest,Morgan County (29141; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sunrise Beach,cog_2025_129465,MO,Midwest,Camden County (29029; primary); Morgan County (29141),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Union,cog_2025_169301,MO,Midwest,Dunklin County (29069; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Unionville,cog_2025_129577,MO,Midwest,Putnam County (29171; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Van Buren,cog_2025_190667,MO,Midwest,Carter County (29035; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Verona,cog_2025_107654,MO,Midwest,Lawrence County (29109; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Versailles,cog_2025_169013,MO,Midwest,Morgan County (29141; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Warsaw,cog_2025_107585,MO,Midwest,Benton County (29015; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wellston,cog_2025_129603,MO,Midwest,St. Louis County (29189; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Weston,cog_2025_194629,MO,Midwest,Platte County (29165; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Wheaton,cog_2025_168792,MO,Midwest,Barry County (29009; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Windsor,cog_2025_107631,MO,Midwest,Henry County (29083; primary); Pettis County (29159),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Adams,cog_2025_131927,ND,Midwest,Walsh County (38099; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Alamo,cog_2025_186840,ND,Midwest,Williams County (38105; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Almont,cog_2025_110231,ND,Midwest,Morton County (38059; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Aneta,cog_2025_131905,ND,Midwest,Nelson County (38063; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Arnegard,cog_2025_171417,ND,Midwest,McKenzie County (38053; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bisbee,cog_2025_110250,ND,Midwest,Towner County (38095; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bowbells,cog_2025_110206,ND,Midwest,Burke County (38013; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Brinsmade,cog_2025_193824,ND,Midwest,Benson County (38005; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Carrington,cog_2025_186853,ND,Midwest,Foster County (38031; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cathay,cog_2025_171491,ND,Midwest,Wells County (38103; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cleveland,cog_2025_110248,ND,Midwest,Stutsman County (38093; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Colfax,cog_2025_132114,ND,Midwest,Richland County (38077; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Colfax,cog_2025_171450,ND,Midwest,Richland County (38077; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Courtenay,cog_2025_131922,ND,Midwest,Stutsman County (38093; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Crystal,cog_2025_171436,ND,Midwest,Pembina County (38067; primary),broad_4x2500_shard_003,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Davenport,cog_2025_131874,ND,Midwest,Cass County (38017; primary),broad_4x2500_shard_003,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dazey,cog_2025_209003,ND,Midwest,Barnes County (38003; primary),broad_4x2500_shard_003,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Des Lacs,cog_2025_171487,ND,Midwest,Ward County (38101; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Donnybrook,cog_2025_110255,ND,Midwest,Ward County (38101; primary),broad_4x2500_shard_003,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Douglas,cog_2025_131929,ND,Midwest,Ward County (38101; primary),broad_4x2500_shard_003,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dwight,cog_2025_186870,ND,Midwest,Richland County (38077; primary),broad_4x2500_shard_003,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Eagle,cog_2025_132117,ND,Midwest,Richland County (38077; primary),broad_4x2500_shard_003,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Elliott,cog_2025_131909,ND,Midwest,Ransom County (38073; primary),broad_4x2500_shard_003,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Fairdale,cog_2025_131928,ND,Midwest,Walsh County (38099; primary),broad_4x2500_shard_003,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Falconer,cog_2025_171744,ND,Midwest,Grand Forks County (38035; primary),broad_4x2500_shard_003,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Flasher,cog_2025_171424,ND,Midwest,Morton County (38059; primary),broad_4x2500_shard_003,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
