municipality,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
Jenks,2,1,0,0,1,1,false
Jennings,1,1,1,0,0,0,false
Jerome,4,3,3,0,0,1,false
Jesup,5,3,1,2,0,2,false
John Day,1,0,0,0,0,1,false
Johns Creek,3,1,1,0,0,2,false
Johnson,5,4,1,3,0,1,false
Johnson Creek,1,1,0,1,0,0,false
Johnston,4,3,3,0,0,1,false
Johnstown,6,4,4,0,0,2,false
Joliet,3,3,0,3,0,0,false
Jonesborough,1,1,0,1,0,0,false
Joplin,3,3,3,0,0,0,false
Jordan,2,2,1,1,0,0,false
Joseph,1,0,0,0,0,1,false
Junction City,7,6,3,3,0,1,false
Jupiter,1,1,0,1,0,0,false
Kachemak,3,3,1,2,0,0,false
Kadoka,4,4,0,4,0,0,false
Kake,1,1,1,0,0,0,false
Kalama,1,0,0,0,0,1,false
Kalamazoo,1,1,0,1,0,0,false
Kalamazoo charter,2,1,0,1,0,1,false
Kamas,2,2,1,1,0,0,false
Kanab,4,3,3,0,0,1,false
Kankakee,2,1,0,1,0,1,false
Kansas City,3,3,1,2,0,0,false
Kaplan,1,0,0,0,0,1,false
Kasson,1,1,0,1,0,0,false
Katy,2,0,0,0,0,2,false
Keansburg,2,2,2,0,0,0,false
Kearney,1,1,0,1,0,0,false
Kechi,2,1,1,0,0,1,false
Keedysville,3,3,1,2,0,0,false
Kemmerer,3,3,1,2,0,0,false
Kendallville,2,2,2,0,0,0,false
Kenmare,1,1,0,1,0,0,false
Kennebunk,4,1,1,0,0,3,false
Kenneth City,1,1,0,1,0,0,false
Kennett,2,2,2,0,0,0,false
Kensington,1,1,1,0,0,0,false
Keokuk,4,3,1,2,0,1,false
Kernersville,4,2,0,2,0,2,false
Kerrville,1,0,0,0,0,1,false
Ketchum,3,0,0,0,0,3,false
Kettle Falls,3,3,2,1,0,0,false
Kewanee,2,2,0,2,0,0,false
Kewaskum,1,1,1,0,0,0,false
Key Biscayne,4,1,0,1,0,3,false
Keyport,2,0,0,0,0,2,false
Kiel,2,2,1,1,0,0,false
Kilgore,3,2,1,1,0,1,false
Kill Devil Hills,1,1,0,1,0,0,false
Killdeer,3,3,1,2,0,0,false
Killingly,4,4,1,3,0,0,false
Kimberly,4,3,3,0,0,1,false
Kinder,1,1,1,0,0,0,false
Kindred,2,2,0,2,0,0,false
King,2,2,2,0,0,0,false
King Cove,2,1,0,1,0,1,false
Kingman,3,2,0,2,0,1,false
Kings Mountain,1,0,0,0,0,1,false
Kingsburg,4,2,2,0,0,2,false
Kingsford,2,1,1,0,0,1,false
Kingsland,1,1,1,0,0,0,false
Kingston,9,1,1,0,0,8,false
Kingstree,3,1,1,0,0,2,false
Kingsville,3,3,0,3,0,0,false
Kingwood,3,1,0,1,0,2,false
Kinnelon,3,3,3,0,0,0,false
Kinston,2,2,2,0,0,0,false
Kirtland,1,1,0,1,0,0,false
Kittery,3,1,1,0,0,2,false
Kittitas,2,0,0,0,0,2,false
Kitzmiller,5,5,1,4,0,0,false
Kivalina,1,1,1,0,0,0,false
Knightdale,2,2,1,1,0,0,false
Knoxville,2,2,2,0,0,0,false
Kokomo,1,1,0,1,0,0,false
Kotlik,1,1,0,1,0,0,false
Kotzebue,5,2,0,1,1,3,false
La Barge,1,1,1,0,0,0,false
La Center,3,3,3,0,0,0,false
La Crescent,3,1,0,1,0,2,false
La Follette,1,1,1,0,0,0,false
La Grange,6,3,2,1,0,3,false
La Habra,2,0,0,0,0,2,false
La Marque,1,1,1,0,0,0,false
La Mesa,3,3,0,2,1,0,false
La Palma,3,3,2,1,0,0,false
La Pine,2,1,1,0,0,1,false
La Porte,1,1,1,0,0,0,false
La Vergne,2,0,0,0,0,2,false
La Verkin,4,1,1,0,0,3,false
LaBelle,2,2,0,2,0,0,false
LaGrange,3,2,0,2,0,1,false
LaSalle,7,7,4,3,0,0,false
Lacey,1,1,0,1,0,0,false
Ladue,2,0,0,0,0,2,false
Ladysmith,3,3,3,0,0,0,false
Lafayette,6,6,4,1,1,0,false
Laguna Beach,7,1,0,1,0,6,false
Laguna Woods,1,1,1,0,0,0,false
Lake,4,4,0,4,0,0,false
Lake Alfred,1,0,0,0,0,1,false
Lake Arthur,2,2,0,1,1,0,false
Lake City,5,5,3,2,0,0,false
Lake Elmo,5,3,3,0,0,2,false
Lake Forest,3,3,0,3,0,0,false
Lake Hallie,2,2,2,0,0,0,false
Lake Jackson,4,3,3,0,0,1,false
Lake Mills,1,1,0,1,0,0,false
Lake Norden,1,1,0,1,0,0,false
Lake Park,2,2,0,2,0,0,false
Lake Preston,3,0,0,0,0,3,false
Lake Station,1,1,0,1,0,0,false
Lake View,2,2,1,1,0,0,false
Lake Villa,1,1,0,1,0,0,false
Lake Zurich,6,1,0,1,0,5,false
Lakeland,3,0,0,0,0,3,false
Lakemore,1,1,1,0,0,0,false
Lakeside,2,0,0,0,0,2,false
Lakeview,1,1,0,1,0,0,false
Lakeville,3,0,0,0,0,3,false
Lakeway,2,2,1,1,0,0,false
Lakewood,6,4,4,0,0,2,false
Lakota,2,2,0,2,0,0,false
Lamar,2,1,0,1,0,1,false
Lancaster,8,6,4,2,0,2,false
Landover Hills,3,3,3,0,0,0,false
Landrum,2,2,1,1,0,0,false
Lanett,3,1,0,1,0,2,false
Langdon,2,2,2,0,0,0,false
Lansing,2,2,0,2,0,0,false
Lantana,2,1,1,0,0,1,false
Lapeer,2,2,0,2,0,0,false
Lapwai,2,0,0,0,0,2,false
Larkspur,3,0,0,0,0,3,false
Las Vegas,3,3,3,0,0,0,false
Latrobe,5,4,0,4,0,1,false
Lauderdale-by-the-Sea,2,2,0,2,0,0,false
Laurel,2,2,1,1,0,0,false
Laurens,1,1,0,1,0,0,false
Laurinburg,2,2,0,2,0,0,false
Lawrence,4,2,1,1,0,2,false
Lawrenceburg,6,4,4,0,0,2,false
Lawrenceville,4,4,3,1,0,0,false
Le Mars,2,0,0,0,0,2,false
Le Sueur,2,2,2,0,0,0,false
Lead,1,1,1,0,0,0,false
Leander,1,1,0,1,0,0,false
Leavenworth,2,2,2,0,0,0,false
Lebanon,5,2,2,0,0,3,false
Ledgeview,3,1,1,0,0,2,false
Ledyard,5,3,3,0,0,2,false
Lee,2,0,0,0,0,2,false
Lee's Summit,1,1,0,1,0,0,false
Leeds,3,3,1,2,0,0,false
Leipsic,2,2,0,2,0,0,false
Leitchfield,2,1,0,1,0,1,false
Leland,3,3,3,0,0,0,false
Lemmon,1,1,1,0,0,0,false
Lemon,3,2,0,2,0,1,false
Lemont,3,3,0,2,1,0,false
Lennox,2,2,1,1,0,0,false
Lenoir,2,2,2,0,0,0,false
Lenoir City,4,4,4,0,0,0,false
Leonardtown,2,0,0,0,0,2,false
Leonia,1,1,0,1,0,0,false
Levelland,2,0,0,0,0,2,false
Lewisburg,8,8,7,1,0,0,false
Lewiston,3,3,1,2,0,0,false
Lewistown,3,2,2,0,0,1,false
Lewisville,2,2,0,2,0,0,false
Lexington,16,4,3,1,0,12,false
Libby,2,1,1,0,0,1,false
Liberty,11,8,1,7,0,3,false
Lighthouse Point,3,3,2,1,0,0,false
Lilburn,4,2,0,2,0,2,false
Lima,1,1,0,1,0,0,false
Limerick,4,2,0,2,0,2,false
Limestone,1,1,0,0,1,0,false
Limon,2,1,1,0,0,1,false
Lincoln,16,4,2,2,0,12,false
Lincoln Heights,1,0,0,0,0,1,false
Lincoln Park,4,3,3,0,0,1,false
Lincolnton,2,0,0,0,0,2,false
Lindenhurst,3,3,0,2,1,0,false
Lindon,2,1,1,0,0,1,false
Lindsay,4,0,0,0,0,4,false
Linton,1,0,0,0,0,1,false
Linwood,2,0,0,0,0,2,false
Lisbon,6,6,4,2,0,0,false
Lisle,2,1,0,1,0,1,false
Litchfield,5,3,2,1,0,2,false
Litchfield Park,4,2,2,0,0,2,false
Little Canada,3,2,1,1,0,1,false
Little Compton,3,3,3,0,0,0,false
Little Egg Harbor,3,3,0,1,2,0,false
Little Elm,1,0,0,0,0,1,false
Little Falls,3,2,2,0,0,1,false
Little Ferry,2,1,1,0,0,1,false
Little Flock,2,2,0,2,0,0,false
Little Rock,6,6,3,3,0,0,false
Little Silver,3,1,1,0,0,2,false
Littleton,2,2,1,1,0,0,false
Live Oak,5,4,0,4,0,1,false
Livermore,1,0,0,0,0,1,false
Livingston,6,2,0,2,0,4,false
Loch Lynn Heights,2,2,1,1,0,0,false
Lochbuie,2,0,0,0,0,2,false
Lock Haven,6,4,4,0,0,2,false
Lockhart,2,0,0,0,0,2,false
Locust,2,2,0,2,0,0,false
Locust Grove,2,0,0,0,0,2,false
Logansport,3,3,2,1,0,0,false
Loganville,2,1,0,1,0,1,false
Lonaconing,2,2,1,1,0,0,false
London,2,2,2,0,0,0,false
Londonderry,5,0,0,0,0,5,false
Lone Tree,3,2,0,2,0,1,false
Long Beach,3,0,0,0,0,3,false
Long Branch,1,1,0,1,0,0,false
Longboat Key,2,0,0,0,0,2,false
Longmeadow,1,0,0,0,0,1,false
Lonoke,3,3,2,1,0,0,false
Lonsdale,4,4,0,4,0,0,false
Los Alamitos,3,1,1,0,0,2,false
Los Banos,2,2,2,0,0,0,false
Loudon,4,3,1,2,0,1,false
Louisa,1,1,1,0,0,0,false
Louisburg,1,1,1,0,0,0,false
Lovelock,3,3,3,0,0,0,false
Lovettsville,3,3,3,0,0,0,false
Lowell,9,3,2,1,0,6,false
Lower Merion,4,0,0,0,0,4,false
Lower Moreland,2,2,0,2,0,0,false
Lower Paxton,2,1,1,0,0,1,false
Lower Providence,2,0,0,0,0,2,false
Lower Salford,2,2,0,2,0,0,false
Loxley,1,1,1,0,0,0,false
Lucedale,2,2,0,2,0,0,false
Ludington,1,1,0,1,0,0,false
Ludlow,15,15,13,2,0,0,false
Lufkin,3,1,0,1,0,2,false
Lumberton,2,2,0,2,0,0,false
Lunenburg,4,0,0,0,0,4,false
Luray,5,5,0,5,0,0,false
Lutcher,1,1,0,1,0,0,false
Luverne,2,1,0,1,0,1,false
Lyman,3,0,0,0,0,3,false
Lynchburg,1,1,0,1,0,0,false
Lyndhurst,2,2,0,2,0,0,false
Lyndon,5,2,1,1,0,3,false
Lynnwood,2,0,0,0,0,2,false
Lyon charter,3,3,0,1,2,0,false
Lyons,3,1,1,0,0,2,false
Lysander,2,2,0,2,0,0,false
Mableton,4,3,2,1,0,1,false
Mabton,3,1,1,0,0,2,false
Macclenny,2,2,0,2,0,0,false
Macomb,6,3,1,2,0,3,false
Macomb City,1,1,1,0,0,0,false
Macon,2,0,0,0,0,2,false
Madawaska,2,2,0,2,0,0,false
Madera,2,0,0,0,0,2,false
Madison,9,5,2,3,0,4,false
Madisonville,2,0,0,0,0,2,false
Magdalena,2,2,1,1,0,0,false
Magna metro,1,0,0,0,0,1,false
Magnolia,3,3,3,0,0,0,false
Mahomet,2,0,0,0,0,2,false
Maine,2,0,0,0,0,2,false
Maize,3,1,1,0,0,2,false
Malad City,2,2,1,1,0,0,false
Malone,2,2,2,0,0,0,false
Malta,4,4,0,4,0,0,false
Malvern,2,0,0,0,0,2,false
Malverne,2,2,1,1,0,0,false
Mammoth Lakes,4,0,0,0,0,4,false
Manasquan,2,0,0,0,0,2,false
Manassas Park,3,2,0,2,0,1,false
Manchester,7,5,3,1,1,2,false
Mandeville,4,1,0,0,1,3,false
Manheim,2,0,0,0,0,2,false
Manistee,2,2,2,0,0,0,false
Manitou Springs,2,2,2,0,0,0,false
Mannford,2,2,1,1,0,0,false
Mannington,3,1,1,0,0,2,false
Manokotak,1,1,1,0,0,0,false
Manor,3,2,0,2,0,1,false
Manorhaven,2,2,1,1,0,0,false
Mansfield,12,5,1,4,0,7,false
Mantua,3,0,0,0,0,3,false
Manvel,3,0,0,0,0,3,false
Manville,2,0,0,0,0,2,false
Many,2,0,0,0,0,2,false
Maple Grove,1,1,0,1,0,0,false
Mapleton,2,2,1,1,0,0,false
Maplewood,4,3,0,3,0,1,false
Maquoketa,4,2,0,2,0,2,false
Marathon,2,0,0,0,0,2,false
Marblehead,3,3,3,0,0,0,false
Mardela Springs,3,2,0,2,0,1,false
Margaret,3,3,3,0,0,0,false
Marianna,2,1,1,0,0,1,false
Marietta,2,1,0,1,0,1,false
Marion,8,8,5,3,0,0,false
Marlboro,1,1,0,1,0,0,false
Marlinton,2,0,0,0,0,2,false
Marlow,2,2,0,2,0,0,false
Marple,1,1,0,0,1,0,false
Marriott-Slaterville,2,2,1,1,0,0,false
Marshall,7,4,0,3,1,3,false
Marshfield,6,6,0,5,1,0,false
Martin,1,0,0,0,0,1,false
Martinsville,4,3,2,1,0,1,false
Marysville,7,6,3,3,0,1,false
Mashpee,6,0,0,0,0,6,false
Mason,2,2,0,2,0,0,false
Massena,4,3,1,2,0,1,false
Matawan,2,2,2,0,0,0,false
Mattawa,2,0,0,0,0,2,false
Matteson,6,4,2,0,2,2,false
Matthews,1,1,1,0,0,0,false
Mauldin,2,2,1,1,0,0,false
Maumelle,2,1,1,0,0,1,false
Maurice,1,1,1,0,0,0,false
Mauston,1,1,0,1,0,0,false
Mayfield,7,7,4,3,0,0,false
Maysville,2,1,0,1,0,1,false
Mayville,6,3,1,2,0,3,false
Maywood,2,1,0,1,0,1,false
McAlester,2,2,0,2,0,0,false
McCall,1,0,0,0,0,1,false
McCammon,1,0,0,0,0,1,false
McCandless,1,0,0,0,0,1,false
McCleary,1,1,0,1,0,0,false
McCook,1,0,0,0,0,1,false
McCordsville,3,3,3,0,0,0,false
McDonough,3,2,2,0,0,1,false
McFarland,3,0,0,0,0,3,false
McHenry,1,0,0,0,0,1,false
McKenzie,2,1,0,1,0,1,false
McLoud,4,0,0,0,0,4,false
McMinnville,2,2,0,2,0,0,false
McPherson,5,1,0,1,0,4,false
Mead,2,2,1,1,0,0,false
Mebane,2,2,0,2,0,0,false
Medford,5,5,1,4,0,0,false
Medical Lake,2,2,2,0,0,0,false
Medicine Lake,1,1,0,1,0,0,false
Medina,7,5,2,3,0,2,false
Medway,3,3,0,3,0,0,false
Meeteetse,1,1,1,0,0,0,false
Melrose,1,1,0,1,0,0,false
Melvindale,2,2,0,2,0,0,false
Mena,1,0,0,0,0,1,false
Mendota,2,2,0,2,0,0,false
Mendota Heights,2,2,1,1,0,0,false
Menno,1,1,1,0,0,0,false
Menominee,3,0,0,0,0,3,false
Mercedes,1,1,0,1,0,0,false
Meredith,2,1,1,0,0,1,false
Meridian,1,1,0,1,0,0,false
Merriam,3,0,0,0,0,3,false
Merrimack,6,4,4,0,0,2,false
Merton,3,0,0,0,0,3,false
Mesilla,3,2,2,0,0,1,false
Methuen,2,0,0,0,0,2,false
Mexico,2,2,0,2,0,0,false
Miami,6,6,4,2,0,0,false
Miami Shores,1,1,0,1,0,0,false
Miami Springs,5,0,0,0,0,5,false
Michigan,3,0,0,0,0,3,false
Middle,3,3,0,3,0,0,false
Middleborough,4,4,4,0,0,0,false
Middlebury,3,1,0,1,0,2,false
Middlefield,1,1,1,0,0,0,false
Middleport,1,1,0,1,0,0,false
Middleton,1,0,0,0,0,1,false
Middletown,6,3,1,2,0,3,false
Middleville,2,0,0,0,0,2,false
Midlothian,5,3,0,3,0,2,false
Midway,2,2,2,0,0,0,false
Midwest,2,2,0,2,0,0,false
Mifflin,2,2,2,0,0,0,false
Milan,2,2,1,1,0,0,false
Milbank,2,2,2,0,0,0,false
Milford,13,9,7,2,0,4,false
Milford city (balance),1,0,0,0,0,1,false
Mill City,3,0,0,0,0,3,false
Mill Valley,6,1,0,1,0,5,false
Millbrook,4,4,0,4,0,0,false
Millbury,5,1,1,0,0,4,false
Millcreek,2,0,0,0,0,2,false
Milledgeville,2,2,1,1,0,0,false
Miller,1,1,1,0,0,0,false
Millersburg,2,2,1,1,0,0,false
Millersville,5,4,2,2,0,1,false
Millington,2,2,2,0,0,0,false
Millinocket,2,2,2,0,0,0,false
Mills,3,0,0,0,0,3,false
Mills River,2,2,2,0,0,0,false
Millville,7,7,5,2,0,0,false
Millwood,1,0,0,0,0,1,false
Milnor,2,2,0,2,0,0,false
Milton,24,10,4,6,0,14,false
Milwaukee,1,1,1,0,0,0,false
Minden,4,4,3,1,0,0,false
Minneapolis,1,1,1,0,0,0,false
Minnetrista,3,1,0,1,0,2,false
Minooka,3,2,1,1,0,1,false
Mint Hill,2,2,0,1,1,0,false
Minto,1,1,1,0,0,0,false
Mission,1,1,1,0,0,0,false
Mission Hills,2,2,2,0,0,0,false
Mitchell,1,0,0,0,0,1,false
Mitchellville,3,0,0,0,0,3,false
Moab,3,0,0,0,0,3,false
Moberly,2,1,1,0,0,1,false
Mobridge,2,2,0,2,0,0,false
Mohall,2,2,0,2,0,0,false
Mokena,4,4,2,2,0,0,false
Mona,2,1,1,0,0,1,false
Monaca,5,1,1,0,0,4,false
Moncks Corner,2,2,0,2,0,0,false
Monclova,3,3,0,3,0,0,false
Mondovi,2,2,2,0,0,0,false
Monessen,5,4,2,2,0,1,false
Monett,3,0,0,0,0,3,false
Monkton,3,1,0,1,0,2,false
Monmouth,2,2,2,0,0,0,false
Monroe,9,5,3,2,0,4,false
Monroe charter,1,1,1,0,0,0,false
Mont Belvieu,2,1,0,1,0,1,false
Montebello,3,3,0,3,0,0,false
Monterey Park,1,1,0,0,1,0,false
Montesano,4,4,0,4,0,0,false
Montevallo,1,1,1,0,0,0,false
Montevideo,4,4,4,0,0,0,false
Montgomery,3,1,0,1,0,2,false
Monticello,6,5,5,0,0,1,false
Montpelier,1,1,1,0,0,0,false
Montrose,5,1,0,1,0,4,false
Montvale,1,1,1,0,0,0,false
Montville,3,1,0,1,0,2,false
Moorcroft,1,1,1,0,0,0,false
Moorefield,2,1,1,0,0,1,false
Mooresville,6,2,2,0,0,4,false
Mora,3,3,3,0,0,0,false
Moraga,5,0,0,0,0,5,false
Morehead,3,0,0,0,0,3,false
Morehead City,3,1,1,0,0,2,false
Moreland Hills,3,2,1,1,0,1,false
Moreno Valley,2,2,2,0,0,0,false
Morgan,4,0,0,0,0,4,false
Morganfield,1,1,0,1,0,0,false
Morganton,3,0,0,0,0,3,false
Moriarty,1,1,1,0,0,0,false
Morrilton,2,1,1,0,0,1,false
Morris,6,1,1,0,0,5,false
Morris Plains,3,3,3,0,0,0,false
Morrisville,4,0,0,0,0,4,false
Morro Bay,5,3,3,0,0,2,false
Morton,6,6,3,3,0,0,false
Mosinee,1,1,1,0,0,0,false
Mosquero,3,3,2,1,0,0,false
Moultonborough,4,0,0,0,0,4,false
Moultrie,5,5,0,5,0,0,false
Mound,1,1,1,0,0,0,false
Mounds View,2,1,1,0,0,1,false
Moundsville,2,1,1,0,0,1,false
Mount Airy,2,1,1,0,0,1,false
Mount Angel,2,2,2,0,0,0,false
Mount Carmel,4,4,2,2,0,0,false
Mount Healthy,1,1,0,1,0,0,false
Mount Holly,2,2,1,1,0,0,false
Mount Joy,2,2,1,1,0,0,false
Mount Kisco,2,2,1,1,0,0,false
Mount Pleasant,5,3,1,2,0,2,false
Mount Vernon,6,6,1,4,1,0,false
Mount Washington,2,1,0,1,0,1,false
Mountain Brook,5,0,0,0,0,5,false
Mountain Grove,2,1,0,1,0,1,false
Mountain Home,3,2,0,2,0,1,false
Mountainair,1,1,1,0,0,0,false
Moxee,3,3,3,0,0,0,false
Mulberry,1,0,0,0,0,1,false
Mulvane,1,1,0,1,0,0,false
Mundy,2,2,0,2,0,0,false
Munford,2,2,0,2,0,0,false
Munster,5,5,2,3,0,0,false
Murphy,4,1,0,1,0,3,false
Murray,3,0,0,0,0,3,false
Muscle Shoals,3,3,2,1,0,0,false
Muskegon Heights,2,2,1,1,0,0,false
Mustang,7,5,2,3,0,2,false
Myrtle Beach,3,2,0,2,0,1,false
Myrtle Creek,2,2,2,0,0,0,false
Nantucket,8,1,1,0,0,7,false
Naples,3,3,3,0,0,0,false
Nappanee,1,0,0,0,0,1,false
Narragansett,6,5,3,2,0,1,false
Narrows,2,2,2,0,0,0,false
Nashville,1,0,0,0,0,1,false
Natick,3,0,0,0,0,3,false
Nazareth,2,2,2,0,0,0,false
Nebraska City,3,0,0,0,0,3,false
Nederland,7,1,1,0,0,6,false
Needham,3,0,0,0,0,3,false
Negaunee,2,1,0,1,0,1,false
Neligh,2,2,1,1,0,0,false
Nenana,3,3,1,2,0,0,false
Neodesha,1,1,0,1,0,0,false
Neosho,4,3,2,1,0,1,false
Nephi,2,1,1,0,0,1,false
Neptune Beach,4,4,1,3,0,0,false
Nether Providence,3,3,0,1,2,0,false
Nevada,4,1,1,0,0,3,false
New Baltimore,2,2,0,2,0,0,false
New Bern,2,2,0,2,0,0,false
New Boston,4,1,0,1,0,3,false
New Brighton,3,3,3,0,0,0,false
New Canaan,6,5,1,2,2,1,false
New Castle,9,6,5,1,0,3,false
New Concord,2,2,2,0,0,0,false
New England,2,2,1,1,0,0,false
New Fairfield,2,0,0,0,0,2,false
New Gloucester,2,2,1,1,0,0,false
New Hampton,2,2,0,2,0,0,false
New Hanover,1,0,0,0,0,1,false
New Haven,6,2,0,2,0,4,false
New Hyde Park,3,2,2,0,0,1,false
New Lebanon,2,1,1,0,0,1,false
New Llano,2,2,1,1,0,0,false
New London,6,5,4,1,0,1,false
New Market,4,4,1,3,0,0,false
New Meadows,2,2,0,2,0,0,false
New Milford,3,3,0,3,0,0,false
New Paltz,2,2,0,2,0,0,false
New Prague,2,2,2,0,0,0,false
New Richmond,1,1,0,1,0,0,false
New Roads,2,0,0,0,0,2,false
New Rockford,2,2,1,1,0,0,false
New Salem,2,2,1,1,0,0,false
New Shoreham,2,2,2,0,0,0,false
New Underwood,1,1,0,1,0,0,false
New Whiteland,2,2,2,0,0,0,false
Newark,5,4,4,0,0,1,false
Newberry,1,1,0,1,0,0,false
Newcastle,2,2,2,0,0,0,false
Newington,3,0,0,0,0,3,false
Newman,3,3,3,0,0,0,false
Newmarket,2,0,0,0,0,2,false
Newnan,3,3,0,3,0,0,false
Newport,9,4,3,1,0,5,false
Newton,9,6,3,3,0,3,false
Newtown,4,2,1,1,0,2,false
Niagara Falls,1,1,0,0,1,0,false
Nibley,2,2,2,0,0,0,false
Nichols Hills,1,0,0,0,0,1,false
Niles,3,3,2,1,0,0,false
Nitro,1,1,0,1,0,0,false
Nixa,3,3,1,2,0,0,false
Noble,3,3,0,3,0,0,false
Noblesville,2,1,0,1,0,1,false
Nogales,4,4,4,0,0,0,false
Nolensville,2,1,0,1,0,1,false
Nome,2,2,2,0,0,0,false
Norcross,1,0,0,0,0,1,false
Norfolk,1,0,0,0,0,1,false
Normandy Park,1,1,1,0,0,0,false
Norridge,1,0,0,0,0,1,false
Norridgewock,2,2,2,0,0,0,false
North Andover,2,2,2,0,0,0,false
North Augusta,2,0,0,0,0,2,false
North Aurora,4,4,0,4,0,0,false
North Bay Village,1,1,1,0,0,0,false
North Beach,2,0,0,0,0,2,false
North Bend,4,2,1,1,0,2,false
North Berwick,4,1,0,1,0,3,false
North Bonneville,3,3,2,1,0,0,false
North Branch,1,0,0,0,0,1,false
North Branford,4,4,2,2,0,0,false
North Caldwell,3,0,0,0,0,3,false
North Chevy Chase,2,2,0,2,0,0,false
North East,1,1,1,0,0,0,false
North Fayette,2,2,0,2,0,0,false
North Fond du Lac,2,2,1,1,0,0,false
North Haledon,3,1,0,1,0,2,false
North Hampton,2,2,2,0,0,0,false
North Haven,2,1,1,0,0,1,false
North Hempstead,3,1,0,1,0,2,false
North Kansas City,4,0,0,0,0,4,false
North Kingstown,3,3,3,0,0,0,false
North Kingsville,3,0,0,0,0,3,false
North Logan,2,2,2,0,0,0,false
North Manchester,2,2,2,0,0,0,false
North Miami,2,0,0,0,0,2,false
North Myrtle Beach,2,2,1,1,0,0,false
North Ogden,5,4,0,4,0,1,false
North Palm Beach,5,3,2,1,0,2,false
North Plains,1,1,0,1,0,0,false
North Pole,1,0,0,0,0,1,false
North Providence,4,4,4,0,0,0,false
North Reading,4,2,2,0,0,2,false
North Salt Lake,4,2,1,1,0,2,false
North Sioux City,1,1,1,0,0,0,false
North Smithfield,5,0,0,0,0,5,false
North Syracuse,4,3,1,2,0,1,false
North Vernon,4,4,0,4,0,0,false
North Whitehall,3,3,2,1,0,0,false
North Yarmouth,2,1,1,0,0,1,false
Northampton,1,1,0,1,0,0,false
Northborough,4,1,1,0,0,3,false
Northbridge,3,3,0,3,0,0,false
Northfield,13,9,8,1,0,4,false
Northglenn,3,3,2,1,0,0,false
Northport,5,0,0,0,0,5,false
Northville,2,2,0,2,0,0,false
Northwood,4,3,2,1,0,1,false
Norton,6,0,0,0,0,6,false
Norwell,2,1,0,1,0,1,false
Norwich,7,5,2,3,0,2,false
Norwood,5,0,0,0,0,5,false
Nottingham,2,1,0,1,0,1,false
Novato,1,1,0,1,0,0,false
Nutter Fort,2,1,0,1,0,1,false
Nyack,2,2,1,1,0,0,false
Nyssa,1,1,0,1,0,0,false
O'Fallon,2,0,0,0,0,2,false
Oak Grove,4,2,2,0,0,2,false
Oak Hill,4,1,0,1,0,3,false
Oakland,7,4,3,1,0,3,false
Oakland Park,1,1,0,1,0,0,false
Oakland charter,3,0,0,0,0,3,false
Oakley,4,2,0,2,0,2,false
Oakmont,3,2,1,1,0,1,false
Oakridge,3,2,2,0,0,1,false
Oakwood,4,4,4,0,0,0,false
Ocala,1,1,0,1,0,0,false
Ocean City,2,2,0,2,0,0,false
Ocean Shores,2,2,0,2,0,0,false
Ocean View,3,3,3,0,0,0,false
Oceana,3,1,1,0,0,2,false
Oceanport,2,2,0,2,0,0,false
Oconomowoc,5,5,5,0,0,0,false
Oconto,4,4,3,1,0,0,false
Oconto Falls,3,3,2,1,0,0,false
Odessa,1,1,1,0,0,0,false
Oelwein,2,2,0,2,0,0,false
Ogallala,1,1,0,1,0,0,false
Ogdensburg,4,1,1,0,0,3,false
Okanogan,2,0,0,0,0,2,false
Okemah,2,1,1,0,0,1,false
Okmulgee,3,3,0,3,0,0,false
Old Bridge,4,0,0,0,0,4,false
Old Lyme,2,0,0,0,0,2,false
Old Orchard Beach,3,3,0,3,0,0,false
Old Saybrook,4,0,0,0,0,4,false
Oliver Springs,3,1,1,0,0,2,false
Olivette,2,1,1,0,0,1,false
Olmsted,3,2,0,2,0,1,false
Omaha,1,1,0,1,0,0,false
Omak,3,2,2,0,0,1,false
Omro,2,1,0,1,0,1,false
Onawa,1,1,1,0,0,0,false
Oneida,6,6,6,0,0,0,false
Oneonta,4,4,2,2,0,0,false
Onida,1,1,1,0,0,0,false
Onondaga,2,2,0,2,0,0,false
Opelika,1,0,0,0,0,1,false
Oradell,3,3,2,1,0,0,false
Orange,11,7,4,3,0,4,false
Orange Beach,2,0,0,0,0,2,false
Orange Cove,2,2,2,0,0,0,false
Orange Park,2,1,0,1,0,1,false
Orangeburg,5,5,1,4,0,0,false
Oregon,1,0,0,0,0,1,false
Orinda,5,3,0,3,0,2,false
Orion charter,3,3,0,3,0,0,false
Orland,5,3,3,0,0,2,false
Orland Park,3,2,0,2,0,1,false
Oro Valley,4,1,1,0,0,3,false
Orofino,2,2,1,1,0,0,false
Orono,6,5,3,2,0,1,false
Oroville,3,3,1,2,0,0,false
Orrington,1,1,0,1,0,0,false
Orting,2,0,0,0,0,2,false
Osage,2,2,1,1,0,0,false
Osage Beach,3,3,3,0,0,0,false
Osage City,4,4,3,1,0,0,false
Osawatomie,2,0,0,0,0,2,false
Osceola,5,4,2,2,0,1,false
Oshtemo charter,2,0,0,0,0,2,false
Ossipee,1,1,0,1,0,0,false
Oswego,2,0,0,0,0,2,false
Othello,6,2,1,1,0,4,false
Ottawa,3,3,3,0,0,0,false
Overland,3,3,2,1,0,0,false
Oxford,13,6,2,4,0,7,false
Oxnard,4,4,4,0,0,0,false
