staffing_evidence_id,municipality,state,compensation_cycle_id,side,staffing_reduction_language,vacancy_language,recruitment_language,retention_language,minimum_staffing_language,overtime_response_language,outsourcing_language,consolidation_language,attrition_language,hiring_freeze_language,position_elimination_language,authorized_headcount_language,filled_headcount_language,pressure_direction,implementation_status,evidence_quality,bounded_evidence_excerpt,technical_lineage_id
STAFF-cc479ed2da18a41c58c0426f,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,101-172-702-001 OVERTIME WAGES 500 500 550,,,,,,,,upward,unclear_status,moderate,101-172-702-001 OVERTIME WAGES 500 500 550,WCM-06006e8c8f7dcefe36a62d82
STAFF-998d812b0cd818a390d948fa,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,"101-441-702-002 OVERTIME WAGES 7,118 8,000 8,000 9,000",,,,,,,,upward,unclear_status,moderate,"101-441-702-002 OVERTIME WAGES 7,118 8,000 8,000 9,000",WCM-9a5391ac0ac3986899bab132
STAFF-d849594382541becd3487904,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,"101-301-702-003 OVERTIME WAGES 54,887 35,000 41,094 45,000",,,,,,,,upward,unclear_status,moderate,"101-301-702-003 OVERTIME WAGES 54,887 35,000 41,094 45,000",WCM-8768eaad0b4d5e99c4bbee03
STAFF-6a482960337943208925c958,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,101-172-702-001 OVERTIME WAGES 500 500 550,,,,,,,,upward,unclear_status,moderate,101-172-702-001 OVERTIME WAGES 500 500 550,WCM-0cf1b6b5d77e4489ee39f8d9
STAFF-49329c84a64d62cfcae2e881,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,"101-441-702-002 OVERTIME WAGES 7,118 8,000 8,000 9,000",,,,,,,,upward,unclear_status,moderate,"101-441-702-002 OVERTIME WAGES 7,118 8,000 8,000 9,000",WCM-bfafc5c762a3e68d72f4d44a
STAFF-2abfda4d5cccd03bd5b5eafe,Wayland,MO,undated-source-BRMGRS-20260802-7b9515248a633393c2daf44d,unclear,,,,,,"101-301-702-003 OVERTIME WAGES 54,887 35,000 41,094 45,000",,,,,,,,upward,unclear_status,moderate,"101-301-702-003 OVERTIME WAGES 54,887 35,000 41,094 45,000",WCM-61732901419a2601351c0949
STAFF-82b32d86b62e630d360f2f7d,Wayne,PA,2024,unclear,,,,,,All overtime must be authorized or otherwise approved by,,,,,,,,upward,formally_adopted,high,All overtime must be authorized or otherwise approved by,WCM-603e8167b143ce14ac48a5d6
STAFF-7d4f5e924665ed391a849c83,Wayne,PA,2024,unclear,,,,,,All overtime must be authorized or otherwise approved by,,,,,,,,upward,formally_adopted,high,All overtime must be authorized or otherwise approved by,WCM-99022d7975117c0ee4627f89
STAFF-0cb13f076a716285d90c56ba,Winneconne,WI,2026,non_safety,,,,,,Age and use of the facility may impact overtime the cost of utilities in general.,,,,,,,,upward,unclear_status,moderate,Age and use of the facility may impact overtime the cost of utilities in general.,WCM-173cf647c59550c5f17eefb8
STAFF-d40fd9950e5788d9879f0506,Winneconne,WI,2026,non_safety,,,,This loss can result in decreased retention of loyal library,,,,,,,,,,downward,unclear_status,moderate,This loss can result in decreased retention of loyal library,WCM-6fc8ee7fcdfb0aa8dc020ad5
STAFF-f695b08d3d760f17995afd45,Winneconne,WI,2026,unclear,,,,"Decreased Patron Retention: Patrons may seek alternative sources for reading materials, such as other libraries,",,,,,,,,,,downward,unclear_status,moderate,"Decreased Patron Retention: Patrons may seek alternative sources for reading materials, such as other libraries,",WCM-560dc35ede4087c5e384c70f
STAFF-b2ce247bc1aa05fbb2a9eaa8,Winneconne,WI,2026,non_safety,,,,,,Age and use of the facility may impact overtime the cost of utilities in general.,,,,,,,,upward,unclear_status,moderate,Age and use of the facility may impact overtime the cost of utilities in general.,WCM-0ae1f366c21f8b4efc9d0698
STAFF-b72af8d0d8b0c5e7940664f7,Pentland,MI,2016,unclear,,,,,,"09/13/2016 $ 47,778.01 3.0% To sidestep new federal overtime rule.",,,,,,,,upward,negotiated_term,moderate,"09/13/2016 $ 47,778.01 3.0% To sidestep new federal overtime rule.",WCM-fb45c33a0dcee077f99d8ec2
STAFF-e4855c8ca8612bca41fdff2c,Pentland,MI,2016,unclear,,,,,,"09/13/2016 $ 47,778.01 3.0% To sidestep new federal overtime rule.",,,,,,,,upward,negotiated_term,moderate,"09/13/2016 $ 47,778.01 3.0% To sidestep new federal overtime rule.",WCM-f0b44f4cc720ab87ba3fa332
STAFF-2f284137dd650180b6296fac,Halcott,NY,2022,unclear,,,,,,3) That each fulltime highway employee in the Town of Halcott be paid time and a half for overtime after a 40/hr week.,,,,,,,,upward,negotiated_term,moderate,3) That each fulltime highway employee in the Town of Halcott be paid time and a half for overtime after a 40/hr week.,WCM-de98a07b5a087662e93835b6
STAFF-d7607bc38854a2658db5a182,Halcott,NY,2022,unclear,,,,,,3) That each fulltime highway employee in the Town of Halcott be paid time and a half for overtime after a 40/hr week.,,,,,,,,upward,negotiated_term,moderate,3) That each fulltime highway employee in the Town of Halcott be paid time and a half for overtime after a 40/hr week.,WCM-efe228dab12de668ffb153f9
STAFF-78e13c8a635ce1c9fc6b1961,Greenbush,MN,2019,unclear,,,recruiting for the new year.,,,,,,,,,,,unclear,unclear_status,moderate,recruiting for the new year.,WCM-16594362cff5a7c67315b06a
STAFF-13e7e54eb2626c0e25592a82,Washington,MI,undated-source-BRMGRS-20260802-2d6032fe7cd02eed272ddf75,fire,,,,"“Washington Township Fire Department has issues with retention of part-time fire fighters,” said MAFF Labor Relations Specialist Jim Steffes regarding the contract extension.",,,,,,,,,,unclear,negotiated_term,moderate,"“Washington Township Fire Department has issues with retention of part-time fire fighters,” said MAFF Labor Relations Specialist Jim Steffes regarding the contract extension.",WCM-25e44c6cc77e964291c184d5
STAFF-dfa98a6a83c11f758a8d4cd4,Estral Beach,MI,undated-source-BRMGRS-20260802-3f2ceb706d3194fad2ee2343,unclear,,,,,,Member only if required in emergencies at which time the overtime pay rate will be,,,,,,,,upward,unclear_status,moderate,Member only if required in emergencies at which time the overtime pay rate will be,WCM-ca646138d3770f7baf4d5809
STAFF-38ca6a166bf1f31f6b8bde91,Estral Beach,MI,undated-source-BRMGRS-20260802-3f2ceb706d3194fad2ee2343,unclear,,,,,,Overtime will be approved by the Work Director and Village President /,,,,,,,,upward,formally_adopted,high,Overtime will be approved by the Work Director and Village President /,WCM-400f2d794036117b764f41d6
STAFF-255fbee4338cd7817a05b83c,Estral Beach,MI,undated-source-BRMGRS-20260802-3f2ceb706d3194fad2ee2343,unclear,,,,,,Member only if required in emergencies at which time the overtime pay rate will be,,,,,,,,upward,unclear_status,moderate,Member only if required in emergencies at which time the overtime pay rate will be,WCM-fe2cd2ccbd54599883cc42d1
STAFF-397ffa7cef0eb1245faa2b93,Estral Beach,MI,undated-source-BRMGRS-20260802-3f2ceb706d3194fad2ee2343,unclear,,,,,,Overtime will be approved by the Work Director and Village President /,,,,,,,,upward,formally_adopted,high,Overtime will be approved by the Work Director and Village President /,WCM-eae2aa7068f727e2d2572d7a
STAFF-8c1b43a2e5ac123f7efee621,Empire,MI,2020,unclear,,,,,,work overtime by their Supervisor.,,,,,,,,upward,unclear_status,moderate,work overtime by their Supervisor.,WCM-1cfb4f2f4b6f429a9d665704
STAFF-92b1795dcb1fd683de2501d6,Empire,MI,2020,unclear,,,,,,14.) Overtime – Full Time & Permanent Substantial Time,,,,,,,,upward,unclear_status,moderate,14.) Overtime – Full Time & Permanent Substantial Time,WCM-42275ecc87bfb5e6c9d2c665
STAFF-d88939ce0b29585371483685,Empire,MI,2020,unclear,,,,,,work overtime by their Supervisor.,,,,,,,,upward,unclear_status,moderate,work overtime by their Supervisor.,WCM-e77dc3237f409b044e9603e4
STAFF-1c14b99bf32f2c1241a58ff0,Dublin,PA,2020,police,,,,,,362‐125 Overtime Reimbursement ‐ 325 ‐ 743 743 ‐,,,,,,,,upward,unclear_status,moderate,362‐125 Overtime Reimbursement ‐ 325 ‐ 743 743 ‐,WCM-6321997e2d506a8b292ea430
STAFF-4437611f05dd4f28ac387fe0,Dublin,PA,2020,police,,,,,,"410‐183 Overtime 902 325 1,500 722 722 1,500",,,,,,,,upward,unclear_status,moderate,"410‐183 Overtime 902 325 1,500 722 722 1,500",WCM-c9cea4664101ccaf8907ff98
STAFF-49e2dcdd2133380525c1d447,Dublin,PA,2020,police,,,,,,362‐125 Overtime Reimbursement ‐ 325 ‐ 743 743 ‐,,,,,,,,upward,unclear_status,moderate,362‐125 Overtime Reimbursement ‐ 325 ‐ 743 743 ‐,WCM-24cfcbad74239201a5307249
STAFF-718297a7c3383ee9727c3133,Dublin,PA,2020,police,,,,,,401‐183 Overtime ‐ 43 ‐ ‐ ‐ ‐,,,,,,,,upward,unclear_status,moderate,401‐183 Overtime ‐ 43 ‐ ‐ ‐ ‐,WCM-49393249f75e6cb34ddaea35
STAFF-9ac731d55d2c5ca9ec68096d,Dublin,PA,2020,police,,,,,,401‐183 Overtime ‐ 43 ‐ ‐ ‐ ‐,,,,,,,,upward,unclear_status,moderate,401‐183 Overtime ‐ 43 ‐ ‐ ‐ ‐,WCM-971e92dfefbde9de9ed14a0f
STAFF-10a9b0d7702a74d060dfcc18,Dublin,PA,2020,police,,,,,,"410‐183 Overtime 902 325 1,500 722 722 1,500",,,,,,,,upward,unclear_status,moderate,"410‐183 Overtime 902 325 1,500 722 722 1,500",WCM-d934afbadda5981f49f80bd7
STAFF-8b7c665673a5cdbbcbab4f4c,Camargo,IL,undated-source-BRMGRS-20260802-3091efa7884845e6e848001f,unclear,,"In case any vacancy occurs in the office of Trustee by death, resignation, removal or any other cause, the vacancy shall be filled at the next general election;",,,,,,,,,,,,unclear,negotiated_term,moderate,"In case any vacancy occurs in the office of Trustee by death, resignation, removal or any other cause, the vacancy shall be filled at the next general election;",WCM-1f583fabac60de9ed298fad0
STAFF-d216af2a47522f77f7af9100,Ghent,MN,undated-source-BRMGRS-20260802-5aaf0681eac3617d4a66bf78,police,,"the Mayor during the disability or absence of the Mayor from the city or, in case of a vacancy in the",,,,,,,,,,,,mixed,unclear_status,moderate,"the Mayor during the disability or absence of the Mayor from the city or, in case of a vacancy in the",WCM-487dbe7efb5f85467c5fd27d
STAFF-1e820b38df6dfb3bcce2b4b6,Ghent,MN,undated-source-BRMGRS-20260802-5aaf0681eac3617d4a66bf78,police,,"advance by the Chair, constitutes a vacancy.",,,,,,,,,,,,mixed,unclear_status,moderate,"advance by the Chair, constitutes a vacancy.",WCM-86c205079a8cf43b0504af4c
STAFF-59fe71e8d6437ab0bc6dbd55,Ghent,MN,undated-source-BRMGRS-20260802-5aaf0681eac3617d4a66bf78,police,,,"the organizing, recruiting, and training of emergency management personnel, which may be required",,,,,,,,,,,mixed,unclear_status,moderate,"the organizing, recruiting, and training of emergency management personnel, which may be required",WCM-113f3701b04d4a9c4abd7759
STAFF-d2661ea07542cae86d38a535,Ghent,MN,undated-source-BRMGRS-20260802-5aaf0681eac3617d4a66bf78,police,,"In the event of any vacancy, the Mayor, with the approval",,,,,,,,,,,,mixed,unclear_status,moderate,"In the event of any vacancy, the Mayor, with the approval",WCM-96427248f08140e691c08a8d
STAFF-c4adac908cb0e30c02ee19c5,Norvell,MI,2024,unclear,,,,,,WAGES (OVERTIME),,,,,,,,upward,unclear_status,moderate,WAGES (OVERTIME),WCM-d8d5b1251ddcab71be4f1252
STAFF-e4c228b691c7b742330b7fa3,Norvell,MI,2024,unclear,,,,,,WAGES (OVERTIME),,,,,,,,upward,unclear_status,moderate,WAGES (OVERTIME),WCM-f0dfb5450c336277450a24a9
STAFF-77ee78661a20bc1432f725b3,Pine Creek,PA,2025,unclear,,Supervisor Edwards reported a vacancy on the Pine Creek Municipal Authority Board and the,,,,,,,,,,,,mixed,negotiated_term,moderate,Supervisor Edwards reported a vacancy on the Pine Creek Municipal Authority Board and the,WCM-91ae32d24b724f45fc64ce7d
STAFF-7d75ef5f658785182d19ce82,New Bremen,NY,2019,unclear,,to interview in executive session five (5) individuals for the consideration of filling the upcoming vacancy in,,,,,,,,,,,,downward,unclear_status,moderate,to interview in executive session five (5) individuals for the consideration of filling the upcoming vacancy in,WCM-83412fe4b2c18ddace92ec69
STAFF-b16e10812f604e86f469c129,St. Johnsville,NY,2022,non_safety,,,,,,"Overtime - Storm Sewer 6,000.00",,,,,,,,upward,unclear_status,moderate,"Overtime - Storm Sewer 6,000.00",WCM-a8091d1cb46dd8f516d1ffca
STAFF-756f2d163fc543093883ae31,St. Johnsville,NY,2022,police,,,,,,Overtime 0.00,,,,,,,,upward,unclear_status,moderate,Overtime 0.00,WCM-2e51c21868dc7afd1dbacb3f
STAFF-346ae5170074dda61141f4e5,St. Johnsville,NY,2022,non_safety,,,,,,"Overtime - Storm Sewer 6,000.00",,,,,,,,upward,unclear_status,moderate,"Overtime - Storm Sewer 6,000.00",WCM-8a9f015e882fc829bfd062c0
STAFF-ac805adda536310712543aaf,St. Johnsville,NY,2022,police,,,,,,Overtime 0.00,,,,,,,,upward,unclear_status,moderate,Overtime 0.00,WCM-d5f09661346aa2cd4b23eb69
STAFF-11afde5a0ea95b653f8b596f,St. Johnsville,NY,2022,police,,,,,,"Snow Removal Overtime 2,500.00",,,,,,,,upward,unclear_status,moderate,"Snow Removal Overtime 2,500.00",WCM-3103eb9133c6024c64d4d82b
STAFF-37151f81e65ba6c3a514b67d,St. Johnsville,NY,2022,police,,,,,,"Snow Removal Overtime 2,500.00",,,,,,,,upward,unclear_status,moderate,"Snow Removal Overtime 2,500.00",WCM-1aab3ba296260b42ba56487f
STAFF-3b725336025c3447506018f4,Collinsville,TX,2025,unclear,,,,,,08-420-7253 Overtime Expense 10000,,,,,,,,upward,unclear_status,moderate,08-420-7253 Overtime Expense 10000,WCM-31e509aefc3bb576e3da25f6
STAFF-f926aec7e4ca105435d8ba30,Collinsville,TX,2025,unclear,,,,,,01-301-7253 Overtime Expense 4000,,,,,,,,upward,unclear_status,moderate,01-301-7253 Overtime Expense 4000,WCM-705ea571d101df79ae50eeb7
STAFF-1918f72d5450a21b87f980a0,Collinsville,TX,2025,unclear,,,,,,01-301-7253 Overtime Expense 4000,,,,,,,,upward,unclear_status,moderate,01-301-7253 Overtime Expense 4000,WCM-38cab1f3912acb10027864ed
STAFF-7ce3c877e9a6d09fb6f05ae6,Collinsville,TX,2025,unclear,,,,,,08-410-7253 Overtime Expense 10000,,,,,,,,upward,unclear_status,moderate,08-410-7253 Overtime Expense 10000,WCM-17598a4f9637c535339e7386
STAFF-88e2c084d49c68e7a35d9f05,Pittsford,NY,undated-source-BRMGRS-20260802-680e880be86d1da831617a59,unclear,,,,,,"prevailing wage plus benefits & subject to overtime rates, if applicable",,,,,,,,upward,unclear_status,moderate,"prevailing wage plus benefits & subject to overtime rates, if applicable",WCM-26209c0b195ce32867c3f403
STAFF-ceca484ec3416cfeb9b566e9,Pittsford,NY,undated-source-BRMGRS-20260802-680e880be86d1da831617a59,unclear,,,,,,"prevailing wage plus benefits & subject to overtime rates, if applicable",,,,,,,,upward,unclear_status,moderate,"prevailing wage plus benefits & subject to overtime rates, if applicable",WCM-cd896e469d9f2e44b6969516
STAFF-5a1747a4c68cdf3308470f81,Washington,PA,2020,police,,,Chief Robert Wilson presented the 2020 Police Applicants Eligibility Lists provided by Civil Service Chairman Richard Beck to Mayor and City Council.,,,,,,,,,,,neutral_or_procedural,unclear_status,moderate,Chief Robert Wilson presented the 2020 Police Applicants Eligibility Lists provided by Civil Service Chairman Richard Beck to Mayor and City Council.,WCM-2366945ba5af7c37b6145524
STAFF-cb39c62ec0f656593f5f7a35,Jerusalem,NY,2021,unclear,,vacancy and upcoming Grievance Day.,,,,,,,,,,,,mixed,unclear_status,moderate,vacancy and upcoming Grievance Day.,WCM-a4622e54b7ab3a954d63cf88
STAFF-3ca3e46c50a890e2e99acf87,Oronoco,MN,2026,unclear,,,"232 100-42210-42258 Recruitment - - - 1,500.00 139.00 - - - -",,,,,,,,,,,unclear,unclear_status,moderate,"232 100-42210-42258 Recruitment - - - 1,500.00 139.00 - - - -",WCM-5a9e3ef8b345a7a73de9377e
STAFF-a3d52c6348a9e5c65a3722b3,Oronoco,MN,2026,unclear,,,"200 100-42200-42258 Recruitment 1,000.00 1,000.00 590.30 1,500.00 868.43 - - - -",,,,,,,,,,,unclear,unclear_status,moderate,"200 100-42200-42258 Recruitment 1,000.00 1,000.00 590.30 1,500.00 868.43 - - - -",WCM-a9ade62b0817f637bdd5a83c
STAFF-59ce9c1d5475e92d931426fa,Oronoco,MN,2026,unclear,,,,"201 100-42200-42259 Retention 1,000.00 1,000.00 551.53 1,500.00 1,018.20 - - - -",,,,,,,,,,unclear,unclear_status,moderate,"201 100-42200-42259 Retention 1,000.00 1,000.00 551.53 1,500.00 1,018.20 - - - -",WCM-32c3c67c995f856f8b407132
STAFF-0388db281d7ef8accf696e1f,Blue Mound,TX,2024,unclear,,,,,,*2024-2025 Overtime 1 $785.00 $785.00,,,,,,,,upward,unclear_status,moderate,*2024-2025 Overtime 1 $785.00 $785.00,WCM-831ae60b3acdecfc4a3b4020
STAFF-e3340ee87e7b7484ff854a02,Blue Mound,TX,2024,unclear,,,,,,*2024-2025 Overtime 1 $785.00 $785.00,,,,,,,,upward,unclear_status,moderate,*2024-2025 Overtime 1 $785.00 $785.00,WCM-f3949e513bafec1c858ff26d
STAFF-1504ddce825bcab491a0bbf2,Salix,IA,2026,unclear,,"PUBLISHING CO: Council Vacancy Publication $72.00, SALIX FIRE DEPT: 12/5/25-7/6/26 Gas & Fuel $430.66, SGT BLUFF",,,,,,,,,,,,mixed,unclear_status,moderate,"PUBLISHING CO: Council Vacancy Publication $72.00, SALIX FIRE DEPT: 12/5/25-7/6/26 Gas & Fuel $430.66, SGT BLUFF",WCM-086559bd64c554b9bd79e8d0
STAFF-fdfe99a9216388ac27841dab,Sanborn,MI,2025,fire,,,,charges at the rate of $200.00 per hour for services performed outside of retains agreement.,,,,,,,,,,unclear,unclear_status,moderate,charges at the rate of $200.00 per hour for services performed outside of retains agreement.,WCM-432395b5f6b6a8511792d4fc
STAFF-3fca38284e7178e6e37a0cff,McPherson,KS,undated-source-BRMGRS-20260802-0987d81c9e77d5f44c1f38e4,fire,,,,,,"overtime, shift differential pay, jury duty and grievance procedures,",,,,,,,,upward,unclear_status,moderate,"overtime, shift differential pay, jury duty and grievance procedures,",WCM-7004627c2bd2a443fcb10dac
STAFF-5b201ea01f2b2802e9801767,Blissfield,MI,2025,unclear,,,"recruitment, and redevelopment—core components of sustaining a vibrant downtown.",,,,,,,,,,,unclear,unclear_status,moderate,"recruitment, and redevelopment—core components of sustaining a vibrant downtown.",WCM-51c1fa779ac4ffbe2f09d932
STAFF-5f4b54755ce288a6e9157565,Blissfield,MI,2022,unclear,,,,"In 2022, the TIF plan was successfully renewed with a continued focus on business retention,",,,,,,,,,,unclear,unclear_status,moderate,"In 2022, the TIF plan was successfully renewed with a continued focus on business retention,",WCM-d5f18862360f33ed84b31707
STAFF-e70e91bcd1482077645fbaad,Cross Roads,TX,2026,police,,,"FY2026 Officer Step Pay Plan: Recruits: $66,950",,,,,,,,,,,upward,unclear_status,moderate,"FY2026 Officer Step Pay Plan: Recruits: $66,950",WCM-999fed1c5d2c353e26c14ea8
STAFF-efe4faec0d57f5bf8eb9e19a,Riley,MI,2025,non_safety,,,,,,first year and implement a 3% raise in the second and third year (exempt from overtime),,,,,,,,upward,negotiated_term,moderate,first year and implement a 3% raise in the second and third year (exempt from overtime),WCM-e266d460ba55b56df7ccffb7
STAFF-ed4dc2912281f91a0074fe8f,Riley,MI,2025,non_safety,,,,,,first year and implement a 3% raise in the second and third year (exempt from overtime),,,,,,,,upward,negotiated_term,moderate,first year and implement a 3% raise in the second and third year (exempt from overtime),WCM-71d76866d6556477b6853bd4
STAFF-5b50316cb18a77f53ff84749,Riley,MI,2025,non_safety,,,,,,first year and implement a 3% raise in the second and third year (exempt from overtime),,,,,,,,upward,negotiated_term,moderate,first year and implement a 3% raise in the second and third year (exempt from overtime),WCM-6a21a4cf39982701910e01f0
STAFF-da12f59a35a31a58e579efc8,Portville,NY,undated-source-BRMGRS-20260802-9a1c20df76e5e4bf28db62b8,unclear,,,,planned retention in future years.,,,,,,,,,,mixed,unclear_status,moderate,planned retention in future years.,WCM-99a7d0165b949af5ca499e81
STAFF-b29f981fd02db42e285993a1,Portville,NY,undated-source-BRMGRS-20260802-9a1c20df76e5e4bf28db62b8,unclear,,,,"the hiring, suspension, promotion, demotion, retention or termination of any employee or appointee;",,,,,,,,,,mixed,unclear_status,moderate,"the hiring, suspension, promotion, demotion, retention or termination of any employee or appointee;",WCM-93183019f4d4246cb3c2a6a2
STAFF-e0edd9ebde7b904aa931ef4a,Portville,NY,undated-source-BRMGRS-20260802-9a1c20df76e5e4bf28db62b8,unclear,,,,"the increase, retention or reduction of compensation or benefits of any employee or appointee;",,,,,,,,,,downward,unclear_status,moderate,"the increase, retention or reduction of compensation or benefits of any employee or appointee;",WCM-525e650a4bf14cfdaadf7108
STAFF-8bfd3ae344578d83c0ca5b90,Lancaster,MN,2017,unclear,,,,,,"Council reviewed the updated Employee Handbook with changes to hours required to work in order to qualify for benefits and updating overtime rules to meet Fair Labor Standards for governmental entities. Bowlin moved adopt the new handbook, second by Nordin and carried.",,,,,,,,upward,unclear_status,moderate,"Council reviewed the updated Employee Handbook with changes to hours required to work in order to qualify for benefits and updating overtime rules to meet Fair Labor Standards for governmental entities. Bowlin moved adopt the new handbook, second by Nordin and carried.",WCM-4ca69838763cc65a3a1780b3
STAFF-f10b085ba260100ff60d2f1c,Grant,NE,undated-source-BRMGRS-20260802-7edaafd1bfa387a4778aea7e,unclear,,,,,,Overtime Wages 8/17-8/30 – 403.53;,,,,,,,,upward,unclear_status,moderate,Overtime Wages 8/17-8/30 – 403.53;,WCM-7656afaa614fb6dda4cc01f3
STAFF-39b1ca40e2ed241fac4ad9f0,Naples,NY,undated-source-BRMGRS-20260802-ada780375544c5f692bfda90,unclear,,,,,,"01-108 Overtime $ 2,007 $ 4,000 $ 3,863 $ 4,171 8.0% $ 308",,,,,,,,upward,unclear_status,moderate,"01-108 Overtime $ 2,007 $ 4,000 $ 3,863 $ 4,171 8.0% $ 308",WCM-c929598d626e687dabb9986c
STAFF-47373b58b040554c9493fa0f,Naples,NY,undated-source-BRMGRS-20260802-ada780375544c5f692bfda90,unclear,,,,,,"01-108 Overtime $ 2,007 $ 4,000 $ 3,863 $ 4,171 8.0% $ 308",,,,,,,,upward,unclear_status,moderate,"01-108 Overtime $ 2,007 $ 4,000 $ 3,863 $ 4,171 8.0% $ 308",WCM-30cc2c580501abc66022e370
STAFF-4c9841ca405de92719f38df0,Langhorne,PA,2026,police,,,,RETAINING CERTAIN REAL PROPERTY TAXES FOR THE FISCAL YEAR 2026 IN THE AMOUNTS OF 14.0,,,,,,,,,,mixed,unclear_status,moderate,RETAINING CERTAIN REAL PROPERTY TAXES FOR THE FISCAL YEAR 2026 IN THE AMOUNTS OF 14.0,WCM-2fff0474802dfe946e01e797
STAFF-f9cb633aaaed3ca3a02735e4,Eureka,MI,2025,police,,,,"Due to Sheriff hiring and retention difficulties, the parties desire to amend the",,,,,,,,,,unclear,negotiated_term,moderate,"Due to Sheriff hiring and retention difficulties, the parties desire to amend the",WCM-9b5245f2c99a6659381ed8d1
STAFF-61c3baa90f1b708f09ecf1e5,New Madison,OH,2025,unclear,,,,"to retain employees and promote a positive working environment beginning January 1, 2025;",,,,,,,,,,mixed,unclear_status,moderate,"to retain employees and promote a positive working environment beginning January 1, 2025;",WCM-022352731b7dc4bdbad6da8a
STAFF-ecedd9e48829909b239cd096,Franklin,OH,undated-source-BRMGRS-20260802-f9a03fb51b4f97d3d75b9233,fire,,,,retention bonuses on a quarterly basis consisting of $1.00 an hour for each hour worked as a certified Firefighter Paramedic in the applicable three month period.,,,,,,,,,,unclear,negotiated_term,moderate,retention bonuses on a quarterly basis consisting of $1.00 an hour for each hour worked as a certified Firefighter Paramedic in the applicable three month period.,WCM-3167ef114c7ab57b9e14c6f5
STAFF-bba24e23947555ed7f9fd608,Franklin,OH,undated-source-BRMGRS-20260802-f9a03fb51b4f97d3d75b9233,police,,,,A maximum of four quarterly retention bonuses may be earned in any twelve-month period.,,,,,,,,,,unclear,negotiated_term,moderate,A maximum of four quarterly retention bonuses may be earned in any twelve-month period.,WCM-098fbfd256bcdb421ce2964e
STAFF-4e813ac77f01c2d4bea9a805,Cumberland,PA,undated-source-BRMGRS-20260802-e2706e857560b88a77170f6f,police,,,,,,"Phiel recommended that a budget transfer of $5,000.00 from 410.186 (DUI Overtime) to 410.740",,,,,,,,upward,recommendation,moderate,"Phiel recommended that a budget transfer of $5,000.00 from 410.186 (DUI Overtime) to 410.740",WCM-0496186edef129e9826e60c0
STAFF-d23d5783658651340c569bf0,Cumberland,PA,undated-source-BRMGRS-20260802-e2706e857560b88a77170f6f,police,,,,,,"Phiel recommended that a budget transfer of $5,000.00 from 410.186 (DUI Overtime) to 410.740",,,,,,,,upward,recommendation,moderate,"Phiel recommended that a budget transfer of $5,000.00 from 410.186 (DUI Overtime) to 410.740",WCM-cba75e02a3cc883adc03ed56
STAFF-22bcc2c8274e0a92a2ad33f5,Ohio,OH,2024,police,,,"negative effect on, any recruitment and retention efforts.","negative effect on, any recruitment and retention efforts.",,,,,,,,,,mixed,unclear_status,moderate,"negative effect on, any recruitment and retention efforts.",WCM-819b0599b22b1df3090d3ece
STAFF-bb8fadb6d46ba90efd3fa12e,Ohio,OH,2024,police,,,,,,discontinue income taxes generated through tips and overtime.,,,,,,,,upward,unclear_status,moderate,discontinue income taxes generated through tips and overtime.,WCM-d00295b35b1603ebdbc6242f
STAFF-0eb551b2bfffc80c4dd1d90d,Ohio,OH,2024,police,,,,,,discontinue income taxes generated through tips and overtime.,,,,,,,,upward,unclear_status,moderate,discontinue income taxes generated through tips and overtime.,WCM-6b039aa9de264472681e6335
STAFF-cd38b32fdfac78946a97cf9a,Bay,MI,2026,fire,,,,,,Section 13:6: Mandated Overtime 30,,,,,,,,upward,negotiated_term,moderate,Section 13:6: Mandated Overtime 30,WCM-6ba1340c73097fa82f21a808
STAFF-0a2c92d9efaf204f29c0b19a,Bay,MI,2026,fire,,,,,,"with Article 9, provided this allowance shall not cause overtime.",,,,,,,,upward,negotiated_term,moderate,"with Article 9, provided this allowance shall not cause overtime.",WCM-88e4977c607f02cc4b9433c7
STAFF-1178f80a1ecae0ab32aff5a5,Bay,MI,2026,fire,,,,,,"tours of duty (72 hours) as a result of trades, overtime, etc., without a day (11 hours) of",,,,,,,,upward,negotiated_term,moderate,"tours of duty (72 hours) as a result of trades, overtime, etc., without a day (11 hours) of",WCM-f74fe03c8e7a1fa3fc4690e2
STAFF-59849c17204dd04f1f5284ef,Bay,MI,2026,fire,,,,,,"with Article 9, provided this allowance shall not cause overtime.",,,,,,,,upward,negotiated_term,moderate,"with Article 9, provided this allowance shall not cause overtime.",WCM-ebe0cc02184a64c665e48750
STAFF-9351ce615bb3b35c8540cb6a,Bay,MI,2026,fire,,Shift and station preference shall be in order only when a vacancy exists,,,,,,,,,,,,unclear,negotiated_term,moderate,Shift and station preference shall be in order only when a vacancy exists,WCM-ac6595a483747902268a4d30
STAFF-62a5411c4d1b64c3109b5c96,Bay,MI,2026,fire,,,,,,"with Article 9, provided this allowance shall not cause overtime.",,,,,,,,upward,negotiated_term,moderate,"with Article 9, provided this allowance shall not cause overtime.",WCM-2eff3e7f3c691fc53b9fdb9a
