state,municipality,unit_type,contract_or_document_period,verification_queue_rows,verified_source_leads,mechanism_families,coverage_status
MI,Harper Woods,safety_and_non_safety_compensation_units,Local association section on the page includes a 2025–2027/2029-style duration plus wage increases including 2024 (+3%) (per page content),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Holland charter,safety_and_non_safety_bargaining_units,"CBA Settlement Agreement 2020–2023 (effective July 1, 2020 through June 30, 2023 stated in resolution snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Holland charter,safety_and_non_safety_bargaining_units,Document dated 2023-06-21; specific CBA/settlement term not stated in snippet,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Huron charter,safety_and_non_safety_compensation_units,Referenced documents dated 2016-07-13 (including “Police Chief Contract 7-13-16”),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Independence charter,safety_and_non_safety_bargaining_units,"Document includes a cited work-schedule period example: February 16 to February 23, 2014; (publication/decision date not determined from snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Inkster,non_safety_comparator,Not clearly labeled as 2024-2026 in the lead metadata shown,1,1,non_safety_constraint_signal,verified_locator_metadata_only
MI,Macomb,safety_and_non_safety_bargaining_units,In-document CBA effective 01/01/2014 through 12/31/2016 (as stated in source snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Macomb,safety_and_non_safety_bargaining_units,"Ratified/term context referenced indirectly via CBA grievance procedure timing (initiated Sept. 5, 2013; arbitration-related litigation covered in 2014 archive entry)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Meridian charter,safety_and_non_safety_bargaining_units,2017-2019 (as referenced in board minutes),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Monroe charter,safety_and_non_safety_compensation_units,July 2021 - 2026,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Northville,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Plainfield charter,safety_and_non_safety_bargaining_units,Act 312 compulsory arbitration award (award dated 2007-08-08),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Port Huron,non_safety_comparator,Inferred: 07-01-2022 to 06-30-2025 (from file name/year and City HR posting; not verified from full text),3,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MI,Portage,non_safety_comparator,"2024-27 collective bargaining agreement (includes effective period covering July 1, 2024 through June 30, 2027 — likely)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MI,Redford charter,safety_and_non_safety_bargaining_units,2014 to 2016,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Redford charter,safety_and_non_safety_bargaining_units,2016 to 2020,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Redford charter,safety_and_non_safety_bargaining_units,2016 to 2021,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Saginaw charter,safety_and_non_safety_bargaining_units,2022-2026 (IAFF 2022-2026 document),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Saginaw charter,safety_and_non_safety_bargaining_units,"2022-2026 (effective July 1, 2022 through June 30, 2026)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Shelby charter,safety_and_non_safety_bargaining_units,"For the term expiring December 31, 2027 (as shown in snippet; potentially relevant for earlier provisions within 2014-2024 scope depending on effective dates/attachments)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Shelby charter,safety_and_non_safety_bargaining_units,"Unknown from search snippet (contains references to Act 312 arbitration context and longevity/pay provisions keyed to June 30, 2014)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
MI,Southfield,safety_and_non_safety_compensation_units,2012-2017,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Southfield,safety_and_non_safety_compensation_units,2023-2026,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MI,Sterling Heights,non_safety_comparator,"July 1, 2006–June 30, 2011",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MI,Van Buren charter,safety_and_non_safety_bargaining_units,MERC/BER decision (2016) referencing Act 312 arbitration / bargaining over issues related to pension (exact CBA term not asserted here),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Waterford charter,safety_and_non_safety_bargaining_units,Contains links indicating: MAP contract 2022-2025; 2016-2018 Dispatchers Contract; Fire Contract-2016-2018 with extensions and Fire Contract 2022-2025 (periods named on the page),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,West Bloomfield charter,safety_and_non_safety_bargaining_units,2016-2017 (case docket C16 G-079; decision issued 2017-04-25),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Ypsilanti charter,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MI,Ypsilanti charter,safety_and_non_safety_bargaining_units,"AFSCME: July 1, 2013–June 30, 2017 (explicit in snippet)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
MN,Brooklyn Park,non_safety_comparator,"January 1, 2022 through December 31, 2023 (agreement period referenced/approved)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MN,Brooklyn Park,non_safety_comparator,"January 1, 2024 through December 31, 2025",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MN,Brooklyn Park,non_safety_comparator,"January 1, 2024 through December 31, 2025 (agreement period referenced/approved)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MN,Coon Rapids,non_safety_comparator,"January 1, 2026 - December 31, 2027",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MN,Eden Prairie,non_safety_comparator,"Effective July 1, 2022 through June 30, 2024",1,1,non_safety_constraint_signal,verified_locator_metadata_only
MN,Minneapolis,non_safety_comparator,"Jan 1, 2023 through Dec 31, 2025",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MN,Minneapolis,non_safety_comparator,"Jan 1, 2023 through Dec 31, 2025 (plus a 2022 contract also referenced on page)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MN,Robbinsdale,safety_and_non_safety_compensation_units,2018-2019,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MN,Robbinsdale,safety_and_non_safety_compensation_units,Active contract ending 12-31-2028 (per locator filename),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MN,Rogers,safety_and_non_safety_compensation_units,2018-2020 (per entry notes in master sheet; exact period to be confirmed from the specific award record),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MN,Shakopee,non_safety_comparator,"Effective January 1, 2024 - December 31, 2026",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
MO,Festus,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MO,Lebanon,safety_and_non_safety_compensation_units,2014-2024 target window,2,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
MO,Marshall,safety_and_non_safety_compensation_units,Document draft date shown in snippet: 03/26/2019 (exact term not stated in snippet),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MO,Moberly,safety_and_non_safety_compensation_units,2014-2024 target window,3,2,market_or_comparability_pressure,verified_locator_metadata_only
MO,Poplar Bluff,safety_and_non_safety_compensation_units,2014-2024 target window,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MO,Washington,safety_and_non_safety_compensation_units,Financial Statement 2021,1,1,market_or_comparability_pressure,verified_locator_metadata_only
MS,D'Iberville,safety_and_non_safety_compensation_units,2022 (agenda items approving specific job salary rates),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MS,D'Iberville,safety_and_non_safety_compensation_units,2024-2025 (document includes 2024–2025 salary scale table),1,1,market_or_comparability_pressure,verified_locator_metadata_only
MS,D'Iberville,safety_and_non_safety_compensation_units,FY 2015-2016 (agenda motion references budget + set salary schedule),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NC,Davidson,safety_and_non_safety_compensation_units,Fiscal Year 2021 (contains referenced FY20 schedule content),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NC,Kernersville,safety_and_non_safety_bargaining_units,Related to COA16-928; case-linked timeframe within 2016-2017 (within 2014-2024 window),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NC,Knightdale,non_safety_municipal_units,FY2024 (Budget Ordinance document; includes Effective 07/01/2023 for Attachment B),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NC,Lewisville,safety_and_non_safety_compensation_units,"Request for Proposals (RFP) dated August 30, 2024",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NC,Stallings,safety_and_non_safety_compensation_units,Effective 07-01-2024 (within 2014-2024 target window for cycle/implementation discovery),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NE,Fremont,non_safety_comparator,"October 1, 2010 to September 30, 2013 (covers the target year October 1, 2010 to September 30, 2011)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NE,Hastings,non_safety_comparator,"January 1, 2024 - December 31, 2025 (referenced in MOA text)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NE,North Platte,non_safety_comparator,2024-2027 (header shown in search snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NE,North Platte,non_safety_comparator,"Oct 1, 2024 through Sep 30, 2027 (term stated in minutes)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NE,Omaha,non_safety_comparator,2015-2016,1,1,non_safety_constraint_signal,verified_locator_metadata_only
NE,Omaha,non_safety_comparator,2015-2016; 2016-2017; 2017-2018 (salary schedules included per locator snippet),1,1,non_safety_constraint_signal,verified_locator_metadata_only
NH,Derry,safety_and_non_safety_bargaining_units,2024 - 2029 (effective dates not fully captured in search snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NH,Derry,safety_and_non_safety_bargaining_units,"July 1, 2021 - June 30, 2026",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NH,Durham,safety_and_non_safety_compensation_units,"January 1, 2014 through December 31, 2016 (document/paper set references the proposed agreement period)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NH,Exeter,safety_and_non_safety_compensation_units,2018-21,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NH,Hampton,safety_and_non_safety_compensation_units,Not specified in search snippet (use document for dates; snippet shows 2024 presence),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NH,Londonderry,non_safety_municipal_units,Warrant article includes estimated cost/tax impact by fiscal year (FY 2021–FY 2025) for ratifying CBA cost items,1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
NH,Merrimack,safety_and_non_safety_bargaining_units,2023 to 2026 (expires June 2026 per related CBA set),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NH,Merrimack,safety_and_non_safety_bargaining_units,2023–2026,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NH,Merrimack,safety_and_non_safety_bargaining_units,2024–2027,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NH,Nashua,non_safety_comparator,"July 1, 2022 — June 30, 2026",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,Bernards,safety_and_non_safety_bargaining_units,"Memorandum of Agreement dated July 13, 2021 covering July 1, 2021 through June 30, 2025",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Bloomfield,safety_and_non_safety_bargaining_units,"2018 (article published May 27, 2018; references years without a contract and pending compulsory interest arbitration)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Bloomfield,safety_and_non_safety_bargaining_units,2018 (settlement agreement dated 5/21/2018; arbitration referenced as pending/compulsory interest arbitration),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Branchburg,safety_and_non_safety_compensation_units,2021 (ordinance effective/attached to the 2021 schedule amendment),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Branchburg,safety_and_non_safety_compensation_units,2024 (ordinance effective/attached to the 2024 schedule amendment),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Branchburg,safety_and_non_safety_compensation_units,Not a single CBA term; code section reflects multiple ordinance amendments spanning years (incl. 2014-2024 references listed on the section),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Camden,non_safety_comparator,"January 01, 2022 – December 31, 2025",2,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,City of Orange,safety_and_non_safety_bargaining_units,"January 1, 2010 to December 31, 2020 (MOA); references interest arbitration award issued July 7, 2016",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Clark,safety_and_non_safety_compensation_units,"March 1, 2015 through December 31, 2020 (agreement for communications operators; salary schedule retroactive to March 1, 2015)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Cranford,non_safety_municipal_units,2022-2025 (as labeled in attachment name),1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,Delran,non_safety_municipal_units,CY 2018 municipal budget year (ordinance to exceed budget appropriation limits / establish cap bank context),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NJ,Denville,safety_and_non_safety_compensation_units,"Salary Ordinance effective for salary schedule referenced to PBA MOA signed Feb 15, 2018 (document includes salary steps beginning 1/1/2018 and 7/1/2019).",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Deptford,safety_and_non_safety_bargaining_units,2014 (document appears to be dated/numbered 2014-42),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Deptford,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,East Orange,non_safety_comparator,"July 1, 2018 – June 30, 2023 (stated in lead snippet)",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,Ewing,safety_and_non_safety_bargaining_units,"January 1, 2019 through December 31, 2023 (within target window 2014-2024)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Ewing,safety_and_non_safety_bargaining_units,"January 1, 2020 through December 31, 2023 (within target window 2014-2024)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Ewing,safety_and_non_safety_bargaining_units,"July 1, 2012 through December 31, 2016 (within target window 2014-2024)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Galloway,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Haddon,safety_and_non_safety_compensation_units,"Beginning January 1, 2018 (as stated in ordinance text)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Haddon,safety_and_non_safety_compensation_units,"Beginning January 1, 2019 (as stated in ordinance text; revised/dated within 2019)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Haddon,safety_and_non_safety_compensation_units,Calendar year 2024 salary ordinance (effective per ordinance text),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Hamilton,safety_and_non_safety_bargaining_units,"Collective Bargaining Agreement approved for 2024–2026 (referenced as effective starting June 27, 2023 in the minutes, with CBA term beginning in 2024 per motion language)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Hamilton,safety_and_non_safety_bargaining_units,"January 1, 2020–December 31, 2024 (CNAs); arbitration award referenced as dated November 8, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Hanover,safety_and_non_safety_compensation_units,"Calendar years 2018, 2019, 2020, and 2021 (per Ordinance No. 25-2019 text in snippet).",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Hanover,safety_and_non_safety_compensation_units,"Effective January 1, 2021; referenced as tied to a collective negotiations agreement covering Jan 1, 2020 through Dec 31, 2021 (per snippet).",1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Harrison,safety_and_non_safety_compensation_units,2024-2027 (document labeled “PBA-22 salaries — 2024-2027”),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Hopewell,safety_and_non_safety_compensation_units,1-1-2019 through 12-31-2021,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Hopewell,safety_and_non_safety_compensation_units,1-1-2019 through 12/31/2021,1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Irvington,safety_and_non_safety_bargaining_units,inferred: 2014-2016 (snippet mentions negotiations around 2014 and interest arbitration context; factfinding mentioned in context),1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Lacey,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Little Falls,safety_and_non_safety_compensation_units,2024 (Ordinance No. 1494 — 2024 Salary Ordinance Schedule “A”),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Monroe,safety_and_non_safety_bargaining_units,2014-2015 timeframe referenced in synopsis materials (P.E.R.C. decision date implied by synopsis set; use to locate related bargaining/impasse/arbitration context for 2014-2024 window),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Montclair,safety_and_non_safety_bargaining_units,2019-2024,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Montclair,safety_and_non_safety_bargaining_units,"Referenced interest arbitration award matter (PERC No. 2013-85, 39 NJPER (¶ 2013)); potentially relevant to negotiations around early-cycle years before/into 2014-2024 window",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Neptune,safety_and_non_safety_bargaining_units,"July 25, 2019 document pack (within target window framing for no-strike clause discovery)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Ocean,safety_and_non_safety_bargaining_units,Docket timeframe tied to 2013-063 and 2014 PERC decision (exact CBA term not extracted here),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Parsippany-Troy Hills,safety_and_non_safety_bargaining_units,Not specified in the minutes (refers to PERC docket AR-2019-325 “Leave Balance Arbitration”),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Piscataway,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Readington,safety_and_non_safety_compensation_units,2014 (salary ordinance amendment; officers and employees),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Readington,safety_and_non_safety_compensation_units,2024 (ordinance number 08-2024; amending compensation rates),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NJ,Robbinsville,safety_and_non_safety_compensation_units,"Effective January 1, 2021 to December 31, 2025 (per document text)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,South River,non_safety_comparator,2022–2027 (contains salary schedule years that include 2023–2026),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,South River,non_safety_comparator,"January 1, 2023 to December 31, 2026",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NJ,Springfield,safety_and_non_safety_compensation_units,2014-2024 (document shown as recent on site; exact year not confirmed from snippet),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Springfield,safety_and_non_safety_compensation_units,2014-2024 (exact covered period not confirmed from search snippet),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Teaneck,safety_and_non_safety_bargaining_units,2020-2023,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Teaneck,safety_and_non_safety_bargaining_units,2022-2026,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Voorhees,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Warren,safety_and_non_safety_compensation_units,"Effective: January 1, 2020 through December 31, 2023",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NJ,Washington,safety_and_non_safety_bargaining_units,"January 1, 2021 through December 31, 2025 (successor terms referenced in context of parties to a prior contract covering Jan 1, 2016–Dec 31, 2020)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Washington,safety_and_non_safety_bargaining_units,"January 1, 2026 through December 31, 2029 (successor CBA referenced)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,West Milford,non_safety_municipal_units,2015-2019,1,1,fiscal_constraint_signal,verified_locator_metadata_only
NJ,West Windsor,safety_and_non_safety_bargaining_units,IA-2019-014 (referenced within 2022 biennial report; arbitration/factfinding/impasse-related procedural record),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,West Windsor,safety_and_non_safety_bargaining_units,P.E.R.C. No. 2013-39 (synopsis published 11/19/2012; relates to binding arbitration restraint request—grievance arbitration arbitrability),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NJ,Woodbridge,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NJ,Woodland Park,non_safety_comparator,"Years 2025, 2026, 2027, 2028, 2029 (as stated for Ordinance 25-09 in the packet)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NJ,Woolwich,safety_and_non_safety_compensation_units,Year 2022 (salary ordinance / amendments effective per adoption),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,Albany,non_safety_comparator,1/1/2020-12/31/2022 (with retro wage references back to 2016-2021 mentioned in snippet),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NY,Albany,non_safety_comparator,2011-2022 (includes years 2016-2022),1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NY,Amherst,safety_and_non_safety_bargaining_units,2014-2024 (exact dates not determined from search snippet),3,2,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Babylon,safety_and_non_safety_bargaining_units,PERB Case No. M2017-043 (Fact-Finding Report; received 3/09/2018 per PERB listing),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Babylon,safety_and_non_safety_bargaining_units,PERB Case No. M2017-044 (Fact-Finding Report; received 3/07/2018 per PERB listing),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Bedford,safety_and_non_safety_compensation_units,"January 1, 2022 to December 31, 2025 (successor agreement; includes salary schedule years overlapping 2014-2024 window)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,Bedford,safety_and_non_safety_compensation_units,Listed: Bedford White Collar CBA 2019 to 2022,1,1,market_or_comparability_pressure,verified_locator_metadata_only
NY,Binghamton,non_safety_comparator,"July 1, 2021 - June 30, 2024",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Binghamton,non_safety_comparator,"July 1, 2022 - June 30, 2025 (as labeled in document metadata/snippet context)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Binghamton,non_safety_comparator,"July 1, 2023 - June 30, 2026",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Blooming Grove,non_safety_municipal_units,2014 (budget year),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Blooming Grove,non_safety_municipal_units,2018 (adopted budget year),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Blooming Grove,non_safety_municipal_units,2024 (adopted budget year),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Colonie,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Elmira,non_safety_comparator,"July 1, 2024 through June 30, 2027",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Evans,safety_and_non_safety_compensation_units,"January 1, 2018 to December 31, 2025 (MOU referenced/approved)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,Evans,safety_and_non_safety_compensation_units,"Settlement periods referenced for each bargaining unit; PBA settled through December 31, 2027 (document is for FY ending 12/31/2024)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,Evans,safety_and_non_safety_compensation_units,Wages established for calendar year 2023 (union contracts referenced; detailed pay terms expected to be in the underlying union contracts),1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,Fishkill,non_safety_municipal_units,2020 (budget year),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Goshen,safety_and_non_safety_compensation_units,prevailing wage schedule described as effective July 2024 through June 2025 (as indicated on the document; exact effective dates not revalidated in this lead),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NY,Greece,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NY,Guilderland,safety_and_non_safety_bargaining_units,01/01/2024–12/31/2026,1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NY,Guilderland,safety_and_non_safety_bargaining_units,varies by linked PDF (including 2024–2026 for UPSEU; see linked documents),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Henrietta,safety_and_non_safety_bargaining_units,"Term entered into as of January 1, 2014 (CBA/agreement)",1,0,strike_or_no_strike_constraint,no_verified_source_lead_in_tier_a_b
NY,Malta,non_safety_municipal_units,2018,1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Montgomery,non_safety_municipal_units,Local-law/adjustment action described for Local Law #1 of 2021 (effective timing not confirmed from lead snippet),1,0,fiscal_constraint_signal,no_verified_source_lead_in_tier_a_b
NY,Moreau,safety_and_non_safety_compensation_units,"Comparative salary schedule columns include Adopted 2019, Adopted 2020, Adopted 2021, Adopted 2022, Adopted 2023, Adopted 2024 (document year 2025 tentative budget)",1,0,market_or_comparability_pressure,no_verified_source_lead_in_tier_a_b
NY,New Hartford,non_safety_municipal_units,Calendar year 2021 (2021 Salary Schedule),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,New Paltz,safety_and_non_safety_compensation_units,2013-12-?? to 2018 (exact start/end implied by filename),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NY,New Rochelle,non_safety_comparator,"July 1, 2015 through June 30, 2018",1,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NY,New Windsor,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Newburgh,safety_and_non_safety_bargaining_units,2017 (document year shown in record title),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Onondaga,non_safety_municipal_units,2016 Adopted Budget (document period),1,1,fiscal_constraint_signal,verified_locator_metadata_only
NY,Oswego,non_safety_comparator,unclear,2,0,non_safety_constraint_signal,no_verified_source_lead_in_tier_a_b
NY,Potsdam,safety_and_non_safety_compensation_units,Includes contracts with start/end years shown on the page (not determined here),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NY,Potsdam,safety_and_non_safety_compensation_units,Not determined here (contract term years require locating within the linked document),1,1,market_or_comparability_pressure,verified_locator_metadata_only
NY,Poughkeepsie,safety_and_non_safety_bargaining_units,PERB Case No. IA 89-4 (interest arbitration award; outside requested 2014-2024 window),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
NY,Rome,non_safety_comparator,"January 1, 2011 - December 31, 2015",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Rome,non_safety_comparator,"July 1, 2009 through June 30, 2012 (per search snippet)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
NY,Rotterdam,safety_and_non_safety_bargaining_units,"2016-2020 Agreement; MOA dated April 1, 2021 modifies/extends through 12/31/2021",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
