municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Margaret,3,"{""strong"": 1, ""weak"": 2}","{""quantitative_compensation_claim"": 3}"
Marianna,1,"{""weak"": 1}","{""context_only"": 1}"
Marion,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Marlboro,4,"{""not_supported"": 2, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Marlow,2,"{""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Marshall,28,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 7, ""weak"": 17}","{""context_only"": 9, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 9, ""source_navigation_claim"": 2}"
Marshfield,33,"{""moderate"": 9, ""not_supported"": 2, ""strong"": 7, ""weak"": 15}","{""context_only"": 12, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 10}"
Martinsville,1,"{""not_supported"": 1}","{""context_only"": 1}"
Marysville,27,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 5, ""weak"": 13}","{""context_only"": 10, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 8}"
Mason,17,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 4, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Massena,12,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 3, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Matawan,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Matteson,29,"{""moderate"": 8, ""not_supported"": 2, ""strong"": 7, ""weak"": 12}","{""context_only"": 8, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 11}"
Matthews,15,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 5, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Mauldin,4,"{""strong"": 1, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Maumelle,5,"{""moderate"": 2, ""not_supported"": 2, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Maurice,2,"{""moderate"": 1, ""strong"": 1}","{""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Mauston,14,"{""moderate"": 5, ""strong"": 5, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Mayfield,40,"{""moderate"": 15, ""not_supported"": 3, ""strong"": 7, ""weak"": 15}","{""context_only"": 9, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 16}"
Mayville,1,"{""weak"": 1}","{""direct_text_claim"": 1}"
Maywood,14,"{""moderate"": 2, ""strong"": 9, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
McAlester,18,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 6, ""weak"": 8}","{""context_only"": 10, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
McCleary,9,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 1, ""weak"": 4}","{""context_only"": 5, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 1}"
McCordsville,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 6, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 6}"
McDonough,6,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 3}"
McKenzie,2,"{""moderate"": 1, ""not_supported"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
McMinnville,16,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 5, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Mead,5,"{""strong"": 4, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 4}"
Mebane,12,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 4, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Medford,18,"{""moderate"": 4, ""strong"": 9, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 11}"
Medical Lake,11,"{""moderate"": 3, ""strong"": 2, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Medina,44,"{""moderate"": 5, ""not_supported"": 8, ""strong"": 10, ""weak"": 21}","{""context_only"": 16, ""direct_text_claim"": 6, ""not_claim_ready"": 7, ""quantitative_compensation_claim"": 15}"
Melvindale,9,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 5, ""weak"": 1}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Mendota,7,"{""not_supported"": 1, ""strong"": 4, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Mendota Heights,12,"{""moderate"": 2, ""strong"": 8, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 7}"
Menno,2,"{""strong"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
Meridian,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Merrimack,39,"{""moderate"": 8, ""not_supported"": 7, ""strong"": 9, ""weak"": 15}","{""context_only"": 16, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 14}"
Mexico,15,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Miami,20,"{""moderate"": 5, ""not_supported"": 4, ""strong"": 6, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 4}"
Middle,9,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Middleborough,15,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 9}","{""context_only"": 6, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
Middlebury,7,"{""moderate"": 1, ""strong"": 2, ""weak"": 4}","{""context_only"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Middlefield,8,"{""moderate"": 4, ""strong"": 3, ""weak"": 1}","{""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 4}"
Midway,20,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 3, ""weak"": 10}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Mifflin,15,"{""moderate"": 5, ""strong"": 5, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 6, ""source_navigation_claim"": 1}"
Milan,23,"{""moderate"": 2, ""not_supported"": 5, ""strong"": 7, ""weak"": 9}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 7}"
Milbank,2,"{""strong"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
Milford,25,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 8, ""weak"": 12}","{""context_only"": 12, ""direct_text_claim"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Mill Valley,2,"{""weak"": 2}","{""context_only"": 2}"
Millbury,2,"{""weak"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Millersburg,8,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 6}"
Millersville,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Mills River,15,"{""moderate"": 4, ""not_supported"": 6, ""weak"": 5}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Millville,6,"{""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Milton,13,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 8}","{""context_only"": 7, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 3}"
Minden,17,"{""moderate"": 4, ""strong"": 5, ""weak"": 8}","{""context_only"": 7, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 7}"
Minnetrista,15,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 9}"
Minooka,3,"{""not_supported"": 3}","{""context_only"": 1, ""not_claim_ready"": 2}"
Mint Hill,6,"{""not_supported"": 4, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 1}"
Minto,4,"{""moderate"": 1, ""strong"": 3}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Mission,6,"{""moderate"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Mission Hills,4,"{""moderate"": 1, ""strong"": 1, ""weak"": 2}","{""quantitative_compensation_claim"": 4}"
Moberly,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""source_navigation_claim"": 1}"
Mobridge,18,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 8, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 9}"
Mohall,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Mokena,14,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 2, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
Mona,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2}"
Monaca,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Monclova,25,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 8, ""weak"": 12}","{""context_only"": 12, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Monessen,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Monmouth,1,"{""not_supported"": 1}","{""context_only"": 1}"
Monroe,11,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 4, ""weak"": 4}","{""context_only"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Mont Belvieu,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Monterey Park,1,"{""weak"": 1}","{""context_only"": 1}"
Montesano,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Monticello,12,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Montpelier,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Montrose,6,"{""not_supported"": 3, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Moorcroft,1,"{""not_supported"": 1}","{""context_only"": 1}"
Moorefield,1,"{""weak"": 1}","{""context_only"": 1}"
Mora,24,"{""not_supported"": 2, ""strong"": 12, ""weak"": 10}","{""context_only"": 7, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13}"
Morehead City,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Moreland Hills,2,"{""moderate"": 1, ""strong"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Moreno Valley,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Moriarty,5,"{""not_supported"": 2, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Morrilton,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Morris Plains,7,"{""moderate"": 2, ""strong"": 4, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 6}"
Morro Bay,31,"{""moderate"": 4, ""not_supported"": 5, ""strong"": 9, ""weak"": 13}","{""context_only"": 12, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 11}"
Morton,14,"{""moderate"": 5, ""not_supported"": 4, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Mosinee,15,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 3, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Moultrie,8,"{""moderate"": 3, ""not_supported"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Mound,1,"{""not_supported"": 1}","{""context_only"": 1}"
Mounds View,6,"{""moderate"": 3, ""strong"": 2, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Mount Angel,22,"{""moderate"": 5, ""not_supported"": 4, ""strong"": 6, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 12}"
Mount Carmel,8,"{""moderate"": 2, ""strong"": 2, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Mount Healthy,15,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 5, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Mount Holly,8,"{""moderate"": 2, ""weak"": 6}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Mount Joy,9,"{""not_supported"": 3, ""strong"": 1, ""weak"": 5}","{""context_only"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3}"
Mount Kisco,15,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 8}","{""context_only"": 5, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 8}"
Mount Vernon,58,"{""moderate"": 12, ""not_supported"": 6, ""strong"": 19, ""weak"": 21}","{""context_only"": 18, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 22}"
Mount Washington,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Mountain Home,4,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Mountainair,7,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Mulvane,3,"{""strong"": 1, ""weak"": 2}","{""direct_text_claim"": 3}"
Mundy,6,"{""moderate"": 3, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Munster,18,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 7, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 6, ""quantitative_compensation_claim"": 8}"
Mustang,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Myrtle Beach,10,"{""not_supported"": 1, ""strong"": 2, ""weak"": 7}","{""context_only"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Myrtle Creek,27,"{""moderate"": 2, ""not_supported"": 5, ""strong"": 17, ""weak"": 3}","{""context_only"": 5, ""direct_text_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 16}"
Nantucket,4,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Naples,6,"{""moderate"": 3, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Narragansett,28,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 11, ""weak"": 9}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Nazareth,4,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 1}"
Neodesha,3,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Neosho,11,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 3, ""weak"": 3}","{""context_only"": 5, ""direct_text_claim"": 4, ""quantitative_compensation_claim"": 2}"
Nephi,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Neptune Beach,28,"{""moderate"": 4, ""not_supported"": 4, ""strong"": 9, ""weak"": 11}","{""context_only"": 7, ""direct_text_claim"": 5, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 12}"
New Bern,14,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 2, ""weak"": 8}","{""context_only"": 5, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
New Brighton,32,"{""moderate"": 10, ""not_supported"": 5, ""strong"": 6, ""weak"": 11}","{""context_only"": 13, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 12}"
New Canaan,46,"{""moderate"": 8, ""not_supported"": 6, ""strong"": 10, ""weak"": 22}","{""context_only"": 14, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 21, ""source_navigation_claim"": 1}"
New Castle,31,"{""moderate"": 10, ""not_supported"": 3, ""strong"": 12, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 10}"
New England,1,"{""weak"": 1}","{""not_claim_ready"": 1}"
New Hampton,4,"{""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
New Haven,16,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 6, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
New Llano,8,"{""moderate"": 1, ""not_supported"": 4, ""strong"": 1, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
New London,23,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 19}","{""context_only"": 13, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 5, ""source_navigation_claim"": 1}"
New Meadows,5,"{""moderate"": 2, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
New Milford,30,"{""moderate"": 6, ""not_supported"": 2, ""strong"": 9, ""weak"": 13}","{""context_only"": 9, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 11}"
New Paltz,4,"{""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
New Prague,24,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 8, ""weak"": 10}","{""context_only"": 10, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 9}"
New Richmond,5,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
New Whiteland,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Newark,58,"{""moderate"": 13, ""not_supported"": 8, ""strong"": 12, ""weak"": 25}","{""context_only"": 21, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 16}"
Newberry,1,"{""weak"": 1}","{""direct_text_claim"": 1}"
Newcastle,17,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 3, ""weak"": 8}","{""context_only"": 5, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Newnan,17,"{""moderate"": 2, ""strong"": 6, ""weak"": 9}","{""context_only"": 8, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 6}"
Newport,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Newton,14,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 5, ""weak"": 4}","{""context_only"": 6, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 6}"
Newtown,26,"{""moderate"": 7, ""not_supported"": 3, ""strong"": 8, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 12}"
Niagara Falls,2,"{""not_supported"": 2}","{""context_only"": 2}"
Nibley,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Niles,35,"{""moderate"": 9, ""not_supported"": 3, ""strong"": 12, ""weak"": 11}","{""context_only"": 8, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 14}"
Nitro,6,"{""moderate"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Nixa,9,"{""moderate"": 3, ""not_supported"": 1, ""weak"": 5}","{""context_only"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Noble,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 2, ""documentary_mechanism_claim"": 1}"
Nogales,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 5}"
Nome,25,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 11, ""weak"": 8}","{""context_only"": 9, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Normandy Park,9,"{""not_supported"": 1, ""strong"": 2, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
North Bay Village,8,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
North Bend,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""source_navigation_claim"": 1}"
North Berwick,7,"{""moderate"": 2, ""strong"": 4, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
North Bonneville,1,"{""weak"": 1}","{""context_only"": 1}"
North Branford,6,"{""moderate"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
North East,4,"{""not_supported"": 1, ""strong"": 3}","{""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
North Fond du Lac,30,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 11, ""weak"": 12}","{""context_only"": 9, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 13}"
North Hampton,5,"{""moderate"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
North Manchester,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
North Ogden,1,"{""moderate"": 1}","{""source_navigation_claim"": 1}"
North Palm Beach,32,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 8, ""weak"": 19}","{""context_only"": 18, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 11}"
North Plains,9,"{""not_supported"": 3, ""strong"": 1, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
North Providence,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 1}"
