period_rescue_id,normalization_id,original_period_status,original_period_label,period_rescue_status,cleaned_period_label,period_evidence_basis,period_rescue_confidence,source_title,raw_period_tokens,source_locator_lineage
BRMPERRES-f98a85b05bf49b870ed6c720,BRMQNORM-20260803-9e11896fc7411e4ffcc16736,explicit_or_bounded_repair,2023,explicit_period_rescued,2023,existing explicit or bounded normalized period,high,"Township of Somerset, County of Hillsdale, Michigan — Minutes for Year End, Board of Trustees Meeting (June 29, 2023)","[""June 29, 2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-16201-01"", ""final"": ""https://somersettownship.org/Files/BOT_Minutes/BOT_June_29_2023_YearEndMinutes.pdf"", ""original"": ""https://www.somersettownship.org/Files/BOT_Minutes/BOT_June_29_2023_YearEndMinutes.pdf"", ""scout_target_id"": ""BRM5-20260731-16201""}"
BRMPERRES-9e57d41c4668ad972f866d5a,BRMQNORM-20260803-9e178a24de348a135cb46a74,explicit_or_bounded_repair,2018–2019,explicit_period_rescued,2018–2019,existing explicit or bounded normalized period,high,"Fiscal Year 2019 Budget (line-item report references Collective Bargaining Agreement with Teamsters Local 205 effective through Dec 31, 2018)","[""2019"",""Dec 31, 2018""]","{""candidate_id"": ""BRM5C-BRM5-20260731-07143-01"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""original"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/54"", ""scout_target_id"": ""BRM5-20260731-07143""}"
BRMPERRES-a0205bedf6d7693818f35286,BRMQNORM-20260803-9e1edf3ae3926e3aca8a2e11,explicit_or_bounded_repair,2022–2023,explicit_period_rescued,2022–2023,existing explicit or bounded normalized period,high,"FY 2022-2023 Adopted Budget (includes wage/salary range by pay group, job titles by pay group & department, longevity pay, and other additional pay categories)","[""FY 2022-2023""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18616-01"", ""final"": ""https://jonestown.org/uploads/fy2022-2023-adopted_budget.pdf"", ""original"": ""https://jonestown.org/uploads/fy2022-2023-adopted_budget.pdf"", ""scout_target_id"": ""BRM5-20260731-18616""}"
BRMPERRES-776016612892ec850e317d9d,BRMQNORM-20260803-9e23eb799bef4d29d2f0bf83,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"VILLAGE COUNCIL AGENDA PDF (contains listed Ordinances, including an Ordinance labeled 'Position Classification and Salary Schedule')",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-09701-02"", ""final"": ""https://chagrinfallsoh.gov/AgendaCenter/ViewFile/Agenda/_02092026-554"", ""original"": ""https://www.chagrinfallsoh.gov/AgendaCenter/ViewFile/Agenda/_02092026-554"", ""scout_target_id"": ""BRM5-20260731-09701""}"
BRMPERRES-8a81755b908e775c8b0bc401,BRMQNORM-20260803-9e246b1361b57440614ab5e9,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,"City of Mackinac Island, Michigan — Ord. No. __, Eff. April 1, 2025: Salaries and Wages for Fiscal Year Ending March 31, 2026 (Public Safety section includes Fire Department rates)","[""April 1, 2025"",""March 31, 2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-12401-02"", ""final"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/mackinacmi-meet-2359d0a957bd47a98bf93480c4b7d2d3/ITEM-Attachment-001-c9e16daa5e0c4924baad70bd99c7eb27.pdf"", ""original"": ""https://mccmeetingspublic.blob.core.usgovcloudapi.net/mackinacmi-meet-2359d0a957bd47a98bf93480c4b7d2d3/ITEM-Attachment-001-c9e16daa5e0c4924baad70bd99c7eb27.pdf"", ""scout_target_id"": ""BRM5-20260731-12401""}"
BRMPERRES-8881aa5c43dcc1d251e7b671,BRMQNORM-20260803-9e28f194a42e2b9151d830f3,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Collective Bargaining Agreement — City of Sterling and IAFF Local #2301,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-00471-02"", ""final"": ""https://sterling-il.gov/ArchiveCenter/ViewFile/Item/75"", ""original"": ""https://www.sterling-il.gov/ArchiveCenter/ViewFile/Item/75"", ""scout_target_id"": ""BRM5-20260731-00471""}"
BRMPERRES-2fa7bb8137684b41a844e05c,BRMQNORM-20260803-9e2984f7d3ecf51ade2e6f16,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Labor Agreement Between the City of Circleville and IAFF Local #1232,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-13451-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-10-1330.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2024/24-MED-10-1330.pdf"", ""scout_target_id"": ""BRM5-20260731-13451""}"
BRMPERRES-4870b54c28fee51fc572165d,BRMQNORM-20260803-9e2f7751dd5605bf0477922e,explicit_or_bounded_repair,2023–2024,explicit_period_rescued,2023–2024,existing explicit or bounded normalized period,high,"Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes personnel/salary increase context)","[""2023/2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14840-03"", ""final"": ""https://bruceville-eddy.us/wp-content/uploads/2024/12/20241219-Agenda-Packet-Public-Version.pdf"", ""original"": ""https://bruceville-eddy.us/wp-content/uploads/2024/12/20241219-Agenda-Packet-Public-Version.pdf"", ""scout_target_id"": ""BRM5-20260731-14840""}"
BRMPERRES-0d87ebe79be922432fcb210d,BRMQNORM-20260803-9e30726d03f12b74ec046b6d,explicit_or_bounded_repair,2019–2022,explicit_period_rescued,2019–2022,existing explicit or bounded normalized period,high,Collective Bargaining Agreement (PVJFD & IAFF Local #3475) — 2019–2022,"[""2019–2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09721-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-12-1242.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-12-1242.pdf"", ""scout_target_id"": ""BRM5-20260731-09721""}"
BRMPERRES-0f9cef49374a627ea79bf38b,BRMQNORM-20260803-9e3a55457a8020bb59e11042,explicit_or_bounded_repair,2024,period_not_applicable,2024,existing explicit or bounded normalized period,high,CITY OF JEFFERSON BUDGET (includes Salary/Wage Adjustments / Pay Plan),"[""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17697-01"", ""final"": ""https://jeffersonwis.com/wp-content/uploads/2025/11/2026-CITY-OF-JEFFERSON-BUDGET.pdf"", ""original"": ""https://jeffersonwis.com/wp-content/uploads/2025/11/2026-CITY-OF-JEFFERSON-BUDGET.pdf"", ""scout_target_id"": ""BRM5-20260731-17697""}"
BRMPERRES-321dac03cf20ef547dbab22c,BRMQNORM-20260803-9e3d8cb7a66712e1a8cf0c28,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,"Wayne Township Personnel Policy (Adopted October 7, 2024) — Pay Rates section (mechanism/context)","[""October 7, 2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18450-01"", ""final"": ""https://waynetwp.net/wp-content/uploads/2024/10/Wayne-Township-Personnel-Policy.pdf"", ""original"": ""https://waynetwp.net/wp-content/uploads/2024/10/Wayne-Township-Personnel-Policy.pdf"", ""scout_target_id"": ""BRM5-20260731-18450""}"
BRMPERRES-4161179e137e2f57f1847572,BRMQNORM-20260803-9e45d3087325304e78b8d406,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Agreement between Teamsters Local No. 328 and City (Negaunee) (Schedule A/B; duration + wage schedules + longevity language),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-04937-01"", ""final"": ""https://archive.lib.msu.edu/LIR/contracts/c7099.pdf"", ""original"": ""https://archive.lib.msu.edu/LIR/contracts/c7099.pdf"", ""scout_target_id"": ""BRM5-20260731-04937""}"
BRMPERRES-7de973e7b46ca92115e1f348,BRMQNORM-20260803-9e4b737d8b73a099cc88d2cd,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,Public Safety Referendum (2025) — Salary Comparisons (Palmyra vs. Jefferson County/other items),"[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02799-03"", ""final"": ""https://cdn.townweb.com/villageofpalmyra.com/wp-content/uploads/2025/03/Referendum_Presentation_2025_Final-1.pdf"", ""original"": ""https://cdn.townweb.com/villageofpalmyra.com/wp-content/uploads/2025/03/Referendum_Presentation_2025_Final-1.pdf"", ""scout_target_id"": ""BRM5-20260731-02799""}"
BRMPERRES-215000f13ceb539391bb0ac9,BRMQNORM-20260803-9e4d2316b3285150c6dd2d8a,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,"Conemaugh Township Supervisors meeting minutes (Dec 17, 2025)","[""DECEMBER 17, 2025"",""Dec 17, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18133-01"", ""final"": ""https://export.amlegal.com/media/minutes/262be231-9b7c-4aba-a44d-465402d9fdd8.pdf"", ""original"": ""https://export.amlegal.com/media/minutes/262be231-9b7c-4aba-a44d-465402d9fdd8.pdf"", ""scout_target_id"": ""BRM5-20260731-18133""}"
BRMPERRES-a4a45accef33b027392c5a96,BRMQNORM-20260803-9e4dfc0a48cd948592347c52,explicit_or_bounded_repair,2024–2026,explicit_period_rescued,2024–2026,existing explicit or bounded normalized period,high,"Agenda packet / attached ""2025 Village Pay Grid/Pay Plan"" (Recommended Pay Plan 2025; 2024 + 3%)","[""2024"",""2025"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17829-01"", ""final"": ""https://westonwi.gov/AgendaCenter/ViewFile/Agenda/_09152025-1821"", ""original"": ""https://westonwi.gov/AgendaCenter/ViewFile/Agenda/_09152025-1821"", ""scout_target_id"": ""BRM5-20260731-17829""}"
BRMPERRES-f3abadfa4ab654f76ded4461,BRMQNORM-20260803-9e53ebda19d899ad427cd277,explicit_or_bounded_repair,2025–2027,explicit_period_rescued,2025–2027,existing explicit or bounded normalized period,high,Perry Township Board of Trustees – Record of Proceedings (motion approving Collective Bargaining Agreement with FOP Lodge 9 for 2025 through 2027),"[""2025"",""2027""]","{""candidate_id"": ""BRM5C-BRM5-20260731-13606-01"", ""final"": ""https://perrytwp.org/AgendaCenter/ViewFile/Minutes/_08042025-389"", ""original"": ""https://www.perrytwp.org/AgendaCenter/ViewFile/Minutes/_08042025-389"", ""scout_target_id"": ""BRM5-20260731-13606""}"
BRMPERRES-a5af0f3082f586bff79b5bfb,BRMQNORM-20260803-9e5f58e347f28d1f386bd257,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,2026-01A01.pdf (Town of Denning Organizational Meeting; Resolution No. 20 of 2026 / salary fixed listing incl. highway employees and other town positions),"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14169-02"", ""final"": ""https://denningny.gov/wp-content/uploads/2025/12/2026-01A01.pdf"", ""original"": ""https://www.denningny.gov/wp-content/uploads/2025/12/2026-01A01.pdf"", ""scout_target_id"": ""BRM5-20260731-14169""}"
BRMPERRES-8ed25deebf3f352f0d86dc63,BRMQNORM-20260803-9e662bf6e1929c8c8195a6c5,explicit_or_bounded_repair,2026,explicit_period_rescued,2026,existing explicit or bounded normalized period,high,Resolution No. 25-20 — Adopt a Longevity Pay Scale for the Position of Part-Time Lifeguards,"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06177-01"", ""final"": ""https://villageofurbancrestoh.us/minutes.htm"", ""original"": ""https://villageofurbancrestoh.us/minutes.htm"", ""scout_target_id"": ""BRM5-20260731-06177""}"
BRMPERRES-da415c4a2239bd7ef06aec41,BRMQNORM-20260803-9e6c8b771bcf1ae5600507df,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,Town of Coxsackie Organizational Meeting (2024) — Longevity pay schedule for full-time non-union employees,"[""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17912-01"", ""final"": ""https://coxsackie.org/wp-content/uploads/2024/02/24organizational-meeting.pdf"", ""original"": ""https://coxsackie.org/wp-content/uploads/2024/02/24organizational-meeting.pdf"", ""scout_target_id"": ""BRM5-20260731-17912""}"
BRMPERRES-313ef5a2bbea3774ed129b58,BRMQNORM-20260803-9e766177c83f55bdabbd3090,explicit_or_bounded_repair,1984–2041,explicit_period_rescued,1984–2041,existing explicit or bounded normalized period,high,"WI police-fire interest arbitration issues table (MIA awards): Green Lake County (Case 28, No. 32349, MIA-801) — Decision No. 21920-A (10/9/1984)","[""1984"",""2041""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06460-01"", ""final"": ""https://werc.wi.gov/DOAroot/interest_award_issues_index_MIA.pdf"", ""original"": ""https://werc.wi.gov/DOAroot/interest_award_issues_index_MIA.pdf"", ""scout_target_id"": ""BRM5-20260731-06460""}"
BRMPERRES-95efb7628a82c63a2145476c,BRMQNORM-20260803-9e7750de0ba3b6ef298b099c,explicit_or_bounded_repair,2021,explicit_period_rescued,2021,existing explicit or bounded normalized period,high,"Agreement Between the City of Milford, Ohio and the Fraternal Order of Police, Ohio Labor Council, Inc. (Representing Police Clerks) — SERB Case No. 2021-MED-04-0593","[""2021""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02334-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0593.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2021/21-MED-04-0593.pdf"", ""scout_target_id"": ""BRM5-20260731-02334""}"
BRMPERRES-6bbaf67357aabafbfcf5e184,BRMQNORM-20260803-9e775bd9670f340671af8059,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Employment – Chillicothe Police Department (probationary pay stated; no CBA terms),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-07652-01"", ""final"": ""https://chillicothepd.org/employment"", ""original"": ""https://chillicothepd.org/employment/"", ""scout_target_id"": ""BRM5-20260731-07652""}"
BRMPERRES-1d10665418f3c8007d571591,BRMQNORM-20260803-9e80094fd0337289b035469b,explicit_or_bounded_repair,2019–2022,explicit_period_rescued,2019–2022,existing explicit or bounded normalized period,high,Collective Bargaining Agreement (PVJFD & IAFF Local #3475) — 2019–2022,"[""2019–2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-09721-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-12-1242.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2018/18-MED-12-1242.pdf"", ""scout_target_id"": ""BRM5-20260731-09721""}"
BRMPERRES-be0db2b84453d3bfad458f9c,BRMQNORM-20260803-9e9827420cfcaa2379a44b40,explicit_or_bounded_repair,2024–2028,explicit_period_rescued,2024–2028,existing explicit or bounded normalized period,high,"Agreement (Public Works) January 1, 2024 - December 31, 2028","[""December 31, 2028"",""January 1, 2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-03859-03"", ""final"": ""https://seiu73.org/wp-content/uploads/2020/11/Bedford-Park-PWW-January-1-2024-December-31-2028-1.pdf"", ""original"": ""https://seiu73.org/wp-content/uploads/2020/11/Bedford-Park-PWW-January-1-2024-December-31-2028-1.pdf"", ""scout_target_id"": ""BRM5-20260731-03859""}"
BRMPERRES-41a3571fe4047a1c3ff1799c,BRMQNORM-20260803-9e9f1aa32384a4fc9018ed5c,explicit_or_bounded_repair,2024,period_not_applicable,2024,existing explicit or bounded normalized period,high,"2024 Organizational Meeting (Jan 9, 2024) — Appointments and Wages (highway employees: per union contract) + CDL-related wage language","[""2024"",""Jan 9, 2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06797-02"", ""final"": ""https://pittsfieldny.com/uploads/1/3/6/1/136153317/2024_organizational_meeting_1-9-24_approved.pdf"", ""original"": ""https://www.pittsfieldny.com/uploads/1/3/6/1/136153317/2024_organizational_meeting_1-9-24_approved.pdf"", ""scout_target_id"": ""BRM5-20260731-06797""}"
BRMPERRES-7fcce4e11b5d73053ea44a1f,BRMQNORM-20260803-9ea13354469e840609ab2339,explicit_or_bounded_repair,2022,explicit_period_rescued,2022,existing explicit or bounded normalized period,high,MINUTES (City of Jefferson Common Council) — Resolution No. 70: 2022 Collective Bargaining Wage Reopener Agreement between the City of Jefferson and the Wisconsin Professional Police Association (WPPA),"[""2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10226-02"", ""final"": ""https://jeffersonwis.com/wp-content/uploads/2021/12/Mins11162021.pdf"", ""original"": ""https://jeffersonwis.com/wp-content/uploads/2021/12/Mins11162021.pdf"", ""scout_target_id"": ""BRM5-20260731-10226""}"
BRMPERRES-5a84649110d047275fef1025,BRMQNORM-20260803-9ed0d3873d6ff0c150f63e64,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,REDSTONE TOWNSHIP POLICE - 26-090-5 P.0477 GASB 68 Report,[],"{""candidate_id"": ""BRM5C-BRM5-20260731-18370-01"", ""final"": ""https://pmrs.pa.gov/wp-content/uploads/2024/09/26-090-5-P.0477-Redstone-Township-Police-2023-GASB-68-Report.pdf"", ""original"": ""https://pmrs.pa.gov/wp-content/uploads/2024/09/26-090-5-P.0477-Redstone-Township-Police-2023-GASB-68-Report.pdf"", ""scout_target_id"": ""BRM5-20260731-18370""}"
BRMPERRES-7667bfd5d176e9837d04319f,BRMQNORM-20260803-9ed47f5e484c998e24748d83,explicit_or_bounded_repair,2024–2025,period_not_applicable,2024–2025,existing explicit or bounded normalized period,high,"CHAPMAN TOWNSHIP SUPERVISORS AGENDA - REORGANIZATION (JANUARY 6, 2025) — Road Employees, Set Compensation & Benefits (references 2024 rates)","[""2024"",""JANUARY 6, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10647-01"", ""final"": ""https://chapmantownship.com/wp-content/uploads/2025/01/Agenda-1-6-2025-Reorganization.pdf"", ""original"": ""https://chapmantownship.com/wp-content/uploads/2025/01/Agenda-1-6-2025-Reorganization.pdf"", ""scout_target_id"": ""BRM5-20260731-10647""}"
BRMPERRES-02ad2b99a191f7b63b40f961,BRMQNORM-20260803-9ed713f7ab7b4a3fc92e3f78,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"Fact-Finding Report (City of Bedford, Ohio vs. Fraternal Order of Police, Lodge 67)",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-09677-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2013/13-MED-08-0943.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/FF_Reports/2013/13-MED-08-0943.pdf"", ""scout_target_id"": ""BRM5-20260731-09677""}"
BRMPERRES-65be968240981d88fd4bf625,BRMQNORM-20260803-9ee8fc8db6fc5da57e5f5a54,explicit_or_bounded_repair,2026,period_not_applicable,2026,existing explicit or bounded normalized period,high,Adopted Town Budget 2026 (Town of Clermont) — Schedule of salaries (elected town officials) / wage-related budgeted compensation,"[""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-10425-01"", ""final"": ""https://clermontny.gov/wp-content/uploads/2026/03/2026-Town-Budget.pdf"", ""original"": ""https://clermontny.gov/wp-content/uploads/2026/03/2026-Town-Budget.pdf"", ""scout_target_id"": ""BRM5-20260731-10425""}"
BRMPERRES-3cb65d26472b7f77ae3dc65d,BRMQNORM-20260803-9eea42cba38720710513c0cc,explicit_or_bounded_repair,2025,period_not_applicable,2025,existing explicit or bounded normalized period,high,Richland Township Fiscal Year 2025 Budget (budget document landing via municipal archive),"[""2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14626-02"", ""final"": ""https://richland.pa.us/ArchiveCenter/ViewFile/Item/58"", ""original"": ""https://richland.pa.us/Archive.aspx?ADID=58"", ""scout_target_id"": ""BRM5-20260731-14626""}"
BRMPERRES-53f32a3d3f12a8f1fa96ad8b,BRMQNORM-20260803-9eea4464077bfbcf7a93055b,explicit_or_bounded_repair,2025–2026,explicit_period_rescued,2025–2026,existing explicit or bounded normalized period,high,City of Mosinee 2026 Budget (includes salary lines; mentions police labor agreement expiration and projected salary increase for full-time City employees),"[""2025"",""2026""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17739-01"", ""final"": ""https://mosinee.wi.us/_files/ugd/3fe12a_3793d7597f884b7aaedee602c7f89f3e.pdf"", ""original"": ""https://www.mosinee.wi.us/_files/ugd/3fe12a_3793d7597f884b7aaedee602c7f89f3e.pdf"", ""scout_target_id"": ""BRM5-20260731-17739""}"
BRMPERRES-d567b18fc2185382ce98e12a,BRMQNORM-20260803-9eebbcb1c0f67ea129ae3dde,explicit_or_bounded_repair,2015,explicit_period_rescued,2015,existing explicit or bounded normalized period,high,"Agreement between the City of Salem, Ohio and the Fraternal Order of Police, Ohio Labor Council, Inc. (Collective Bargaining Agreement)","[""January 1, 2015""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02402-01"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-03-0319.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2017/17-MED-03-0319.pdf"", ""scout_target_id"": ""BRM5-20260731-02402""}"
BRMPERRES-c3d1b877af903285052183df,BRMQNORM-20260803-9eed9ab30ef1b0a091bb5ffb,explicit_or_bounded_repair,2018,explicit_period_rescued,2018,existing explicit or bounded normalized period,high,2018 Mayor’s Budget Message (Village of East Nassau),"[""2018""]","{""candidate_id"": ""BRM5C-BRM5-20260731-06709-01"", ""final"": ""https://villageeastnassau.digitaltowpath.net/application/files/6217/7368/6481/2018_Mayors_budget_message.pdf"", ""original"": ""https://villageeastnassau.digitaltowpath.net/application/files/6217/7368/6481/2018_Mayors_budget_message.pdf"", ""scout_target_id"": ""BRM5-20260731-06709""}"
BRMPERRES-6e29fbeee95c565cba7aa626,BRMQNORM-20260803-9ef0c4a800ab65fa84762c01,explicit_or_bounded_repair,2022,explicit_period_rescued,2022,existing explicit or bounded normalized period,high,Conciliation Award — City of Monroe Firefighters/Paramedics (IAFF); wage increases and award outcome,"[""2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02343-02"", ""final"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Conciliation_Awards/2019/19-MED-07-0620.pdf"", ""original"": ""https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Conciliation_Awards/2019/19-MED-07-0620.pdf"", ""scout_target_id"": ""BRM5-20260731-02343""}"
BRMPERRES-3b103dadc55395e17e9bd1cc,BRMQNORM-20260803-9ef3cab70c979003849edf42,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,"PERB Report and Recommendations (M2015-259): Town of Barker - and - International Brotherhood of Teamsters, Local 317",[],"{""candidate_id"": ""BRM5C-BRM5-20260731-02921-02"", ""final"": ""https://perb.ny.gov/system/files/documents/2024/05/m2015-259.pdf"", ""original"": ""https://perb.ny.gov/system/files/documents/2024/05/m2015-259.pdf"", ""scout_target_id"": ""BRM5-20260731-02921""}"
BRMPERRES-d55faddf060a888d3445113c,BRMQNORM-20260803-9efa16b84f685111e7d01039,explicit_or_bounded_repair,2000,explicit_period_rescued,2000,existing explicit or bounded normalized period,high,"Buckhead, Georgia municipal charter (acts/charter text including personnel/pay-plan authorities)","[""January 1, 2000""]","{""candidate_id"": ""BRM5C-BRM5-20260731-18497-01"", ""final"": ""https://dlg.usg.edu/record/dlg_ggpd_l407-1999-v-2-bk-2"", ""original"": ""https://dlg.usg.edu/record/dlg_ggpd_l407-1999-v-2-bk-2"", ""scout_target_id"": ""BRM5-20260731-18497""}"
BRMPERRES-bfb8c67e49daabe45baea28e,BRMQNORM-20260803-9f0265e07da3404088a05e40,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Village Officer’s Handbook (PDF),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-13608-01"", ""final"": ""https://phillipsburgoh.gov/wp-content/uploads/sites/41/2025/10/Village-Officers-Manual.pdf"", ""original"": ""https://phillipsburgoh.gov/wp-content/uploads/sites/41/2025/10/Village-Officers-Manual.pdf"", ""scout_target_id"": ""BRM5-20260731-13608""}"
BRMPERRES-17f63d75198db0e1365a08ea,BRMQNORM-20260803-9f0a32e358c1388d54449dde,explicit_or_bounded_repair,2021–2025,explicit_period_rescued,2021–2025,existing explicit or bounded normalized period,high,"Town of Ontario Board of Trustees/Resolutions — Approving Memorandum of Agreement with CSEA to provide additional base wage increases for Blue Collar Unit employees (references successor CBA covering Jan 1, 2021–Dec 31, 2025)","[""Dec 31, 2025"",""Jan 1, 2021""]","{""candidate_id"": ""BRM5C-BRM5-20260731-17994-02"", ""final"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.11.2022%20Agenda.pdf"", ""original"": ""https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.11.2022%20Agenda.pdf"", ""scout_target_id"": ""BRM5-20260731-17994""}"
BRMPERRES-d19f72c644f00fdd3ddaed8a,BRMQNORM-20260803-9f1c5122e71d0956f2eea084,missing_period_anchor,,period_missing_after_rescue,,no credible bounded period anchor,low,Township of Long Beach Resolution approving execution of Long Beach PBA Local #373 collective bargaining unit agreements (Superior Officers and Rank & File),[],"{""candidate_id"": ""BRM5C-BRM5-20260731-06640-01"", ""final"": ""https://longbeachtownship.com/wp-content/uploads/2020/05/ag12162019.pdf"", ""original"": ""https://www.longbeachtownship.com/wp-content/uploads/2020/05/ag12162019.pdf"", ""scout_target_id"": ""BRM5-20260731-06640""}"
BRMPERRES-5e98f266bfe26e37dec017c6,BRMQNORM-20260803-9f1cd8cde6da1c95c3b5cd05,explicit_or_bounded_repair,2025,explicit_period_rescued,2025,existing explicit or bounded normalized period,high,"Organizational Meeting Minutes (pay increases adopted) — January 2, 2025","[""January 2, 2025""]","{""candidate_id"": ""BRM5C-BRM5-20260731-02994-01"", ""final"": ""https://hardenburghny.gov/wp-content/uploads/2025/01/Minutes_01_02_25.pdf"", ""original"": ""https://hardenburghny.gov/wp-content/uploads/2025/01/Minutes_01_02_25.pdf"", ""scout_target_id"": ""BRM5-20260731-02994""}"
BRMPERRES-6a516eb59fa799a9012164c6,BRMQNORM-20260803-9f1e682c3ed8b878c786b87d,explicit_or_bounded_repair,2024,explicit_period_rescued,2024,existing explicit or bounded normalized period,high,2024-01AO1a.pdf (Town of Denning Resolution No. 20 of 2024 / salary rates incl. highway employees and other town positions),"[""2024""]","{""candidate_id"": ""BRM5C-BRM5-20260731-14169-01"", ""final"": ""https://denningny.gov/wp-content/uploads/2024/02/2024-01AO1a.pdf"", ""original"": ""https://www.denningny.gov/wp-content/uploads/2024/02/2024-01AO1a.pdf"", ""scout_target_id"": ""BRM5-20260731-14169""}"
BRMPERRES-393d150584d1663d32b155b8,BRMQNORM-20260803-9f24e18c10fc18d8f059af4c,explicit_or_bounded_repair,2022–2023,explicit_period_rescued,2022–2023,existing explicit or bounded normalized period,high,"Council Meeting — December 12, 2022 (Personnel/2023 Wages; COLA and merit raises effective with January, 2023 payroll)","[""2023"",""December 12, 2022""]","{""candidate_id"": ""BRM5C-BRM5-20260731-08383-02"", ""final"": ""https://lincolnks.org/documents/597/121222_Council_Meeting_Minutes.pdf"", ""original"": ""https://lincolnks.org/documents/597/121222_Council_Meeting_Minutes.pdf"", ""scout_target_id"": ""BRM5-20260731-08383""}"
