non_base_wage_observation_id,extraction_case_id,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,non_base_wage_type,value_text,effective_date,eligibility_or_implementation_rule,bounded_evidence_pointer,confidence,reason_code,qa_status,source_quantitative_observation_id,qa_original_status,qa_resolution_id,qa_resolution_classification,qa_resolution_status,canonical_observation_id,duplicate_of,active_in_corrected_lane
nobs_aa7a410a9ff632f7aa3e1050,cex_17f26d91d738a16964d7b0e7,doc_0552704caf68568641fa7f14,ttd_dcab1abb2b421c7f336a5ca0,sr_d6ef2ecfb0edd5ecd4a5bf45,NSCQ-MI-20260720-0026,MI,Midland,CITY OF MIDLAND,non_safety,cba,,,13,leave,48 hours per calendar year in earned leave as compensation for standby duty,,"compensation for standby duty may be monetary or earned leave, subject to the 48-hour per calendar year restriction",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0053_sr_d6ef2ecfb0edd5ecd4a5bf45.pdf#page=13,high,STANDBY_EARNED_LEAVE_CAP_48_TOKEN,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_aa7a410a9ff632f7aa3e1050,,true
nobs_5295dacce63bfacdfaf6ff9c,cex_17f26d91d738a16964d7b0e7,doc_0552704caf68568641fa7f14,ttd_dcab1abb2b421c7f336a5ca0,sr_d6ef2ecfb0edd5ecd4a5bf45,NSCQ-MI-20260720-0026,MI,Midland,CITY OF MIDLAND,non_safety,cba,,,13,leave,earned leave on record on January 1st shall be paid in that month at the employee’s prevailing base rate,January 1st (reset/payment timing reference),earned leave balance on January 1 paid in that month at prevailing base rate,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0053_sr_d6ef2ecfb0edd5ecd4a5bf45.pdf#page=13,medium,EARNED_LEAVE_YEAR_START_PAYMENT_RULE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_5295dacce63bfacdfaf6ff9c,,true
nobs_a4db299ae8043d63691cd309,cex_64407f16710e870946772ea3,doc_277696451ee2b3846821c24e,ttd_ded779e2ad8bf33b6533bb3a,sr_64a7d44a49b1aa998246b46f,NSCQ-MI-20260720-0024,MI,Midland,CITY OF MIDLAND,police,cba,,,16,overtime,Hours worked in excess of 84 hours per bi-weekly pay period will be paid at the applicable overtime rate.,,Applies to employees covered by the Agreement working more than 84 hours per bi-weekly pay period.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0196_sr_64a7d44a49b1aa998246b46f.pdf#page=16,medium,CBA01_16_OVERTIME_EXCEED_84_HOURS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_a4db299ae8043d63691cd309,,true
nobs_6a5f73fd539411b6e8ef1356,cex_805a246ad53fd58d4053d11d,doc_2d001c0b49ff4e4dfb2c6b98,ttd_4259d4811c2f5b7e25188eaf,sr_c06b0fe06e93a9a82314b8e2,NSCQ-MI-20260720-0112,MI,Romulus,CITY OF ROMULUS,non_safety,cba,,,23,other,"annual 1-person = $4,000 waiver payment",,Waiver of health insurance for bargaining unit members who are not married-funded employee; subject to opt-out eligibility conditions and election timing (effective only January 1 or July 1).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0169_sr_c06b0fe06e93a9a82314b8e2.pdf#page=23,medium,A1F0,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_6a5f73fd539411b6e8ef1356,,true
nobs_1a699a197b94b1b98c320994,cex_805a246ad53fd58d4053d11d,doc_2d001c0b49ff4e4dfb2c6b98,ttd_4259d4811c2f5b7e25188eaf,sr_c06b0fe06e93a9a82314b8e2,NSCQ-MI-20260720-0112,MI,Romulus,CITY OF ROMULUS,non_safety,cba,,,23,other,paid in equal bi-weekly installments,"Effective July 1, 2024",Waiver payments are paid in equal bi-weekly installments.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0169_sr_c06b0fe06e93a9a82314b8e2.pdf#page=23,high,A1F1,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_1a699a197b94b1b98c320994,,true
nobs_07575412b97fc2d3caec2956,cex_805a246ad53fd58d4053d11d,doc_2d001c0b49ff4e4dfb2c6b98,ttd_4259d4811c2f5b7e25188eaf,sr_c06b0fe06e93a9a82314b8e2,NSCQ-MI-20260720-0112,MI,Romulus,CITY OF ROMULUS,non_safety,cba,,,22,benefits,"Term Life Insurance - Principle Sum/$25,000",,Employer pays the full premium cost for term life insurance for bargaining unit members.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0169_sr_c06b0fe06e93a9a82314b8e2.pdf#page=22,high,B1F0,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_07575412b97fc2d3caec2956,,true
nobs_856d5263660260c0441e2d27,cex_805a246ad53fd58d4053d11d,doc_2d001c0b49ff4e4dfb2c6b98,ttd_4259d4811c2f5b7e25188eaf,sr_c06b0fe06e93a9a82314b8e2,NSCQ-MI-20260720-0112,MI,Romulus,CITY OF ROMULUS,non_safety,cba,,,22,benefits,"Term Life Insurance-Accident/Death/$25,000",,Employer pays the full premium cost for term life insurance accident/death for bargaining unit members.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0169_sr_c06b0fe06e93a9a82314b8e2.pdf#page=22,high,B1F1,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_856d5263660260c0441e2d27,,true
nobs_2d842b927024cf1ad1405959,cex_805a246ad53fd58d4053d11d,doc_2d001c0b49ff4e4dfb2c6b98,ttd_4259d4811c2f5b7e25188eaf,sr_c06b0fe06e93a9a82314b8e2,NSCQ-MI-20260720-0112,MI,Romulus,CITY OF ROMULUS,non_safety,cba,,,22,benefits,"Retirees eligible for life insurance/$10,000",,Retirees eligible for life insurance receive the listed life insurance amount (as part of life insurance benefits).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0169_sr_c06b0fe06e93a9a82314b8e2.pdf#page=22,medium,B1F2,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_2d842b927024cf1ad1405959,,true
nobs_2e344f5681c01d3d0c8d06ab,cex_1479248c79b0675874ed5c47,doc_9c64017fbb4948ad850d4bda,ttd_752daadf1d467dbd538a43bb,sr_59f25b66606b8f3e8d2e13e3,NSCQ-MI-20260720-0113,MI,Romulus,CITY OF ROMULUS,police,cba,,,25,healthcare_contributions,"Eligible Coverage Annual Waiver Payment; Single Coverage: $2,000; Two-Person Coverage: $3,000; Family Coverage: $4,000",effective only January 1 or July 1 of each year,employees who waived may reapply only on July 1; payment prorated if previous election was less than twelve (12) months; forfeited if not employed on July 1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,high,HEALTH_INSURANCE_WAIVER_PAYMENT_AMOUNTS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_2e344f5681c01d3d0c8d06ab,,true
nobs_a5bfda09da519aa0571566a9,cex_1479248c79b0675874ed5c47,doc_9c64017fbb4948ad850d4bda,ttd_752daadf1d467dbd538a43bb,sr_59f25b66606b8f3e8d2e13e3,NSCQ-MI-20260720-0113,MI,Romulus,CITY OF ROMULUS,police,cba,,,25,healthcare_contributions,"Family: amount, on a monthly basis, by which the illustrative rate for the family plan selected by the Employee exceeds ",,"exceeds $20,180.43 per year (as stated)",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,high,FAMILY_EXCEEDANCE_ILLUSTRATIVE_RATE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_a5bfda09da519aa0571566a9,,true
nobs_fce58770a446146c53b3aa2c,cex_75499eab2bcd803da8331d8d,doc_982618828104493350a52fe6,ttd_7b3037b58132aacc227668a7,sr_941d4d3c69684e783a145e5a,NSCQ-MI-20260720-0056,MI,Taylor,CITY OF TAYLOR,fire,cba,,,6,other,"$1,000 annually",first pay period of March,"ALS Transporting Bonus; all bargaining unit employees receive the bonus; must have worked in the pay period in which the bonus is paid (first pay period of March) to receive it; described as paid in the first pay on overtime rates, leave/pp",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0026_sr_941d4d3c69684e783a145e5a.pdf#page=6,medium,ALS_TRANSPORT_BONUS_AMOUNT_AND_TIMING,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_fce58770a446146c53b3aa2c,,true
nobs_d7023583c03ec0d7c127c33f,cex_75499eab2bcd803da8331d8d,doc_982618828104493350a52fe6,ttd_7b3037b58132aacc227668a7,sr_941d4d3c69684e783a145e5a,NSCQ-MI-20260720-0056,MI,Taylor,CITY OF TAYLOR,fire,cba,,,6,overtime,time and one-half of the employee's prevailing hourly rate; overtime for work in a regularly scheduled workday (24-conK ,,Overtime pay applies to Fire Fighting Division for work in regularly scheduled workday (24 consecutive hours) or scheduled work week (50.4 hours); overtime is paid at time and one-half of the employee's prevailing hourly rate.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0026_sr_941d4d3c69684e783a145e5a.pdf#page=6,medium,OVERTIME_RATE_TIME_HALF_FOR_24_AND_50_4,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_d7023583c03ec0d7c127c33f,,true
nobs_27b31a5494533eae0dc85801,cex_75499eab2bcd803da8331d8d,doc_982618828104493350a52fe6,ttd_7b3037b58132aacc227668a7,sr_941d4d3c69684e783a145e5a,NSCQ-MI-20260720-0056,MI,Taylor,CITY OF TAYLOR,fire,cba,,,6,overtime,time and one-half of the employee's prevailing hourly rate; overtime for work in excess of regularly scheduled workday (,,Overtime pay applies to 40-hour employees for all work in excess of regularly scheduled workday (10 hours) or work week (40 hours); paid at time and one-half of prevailing hourly rate.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0026_sr_941d4d3c69684e783a145e5a.pdf#page=6,low,OVERTIME_RATE_FOR_40_HOUR_EMPLOYEES_PART,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_27b31a5494533eae0dc85801,,true
nobs_62bc129980b598ff18ea19d1,cex_75499eab2bcd803da8331d8d,doc_982618828104493350a52fe6,ttd_7b3037b58132aacc227668a7,sr_941d4d3c69684e783a145e5a,NSCQ-MI-20260720-0056,MI,Taylor,CITY OF TAYLOR,fire,cba,,,7,overtime,paid for a minimum of four (4) hours at straight time rate; call-back at the rate of time and one-half; minimum of pay,,Paid for a minimum of four (4) hours at straight time when called back to work after completing work; call-back pay uses time and one-half; includes minimum pay equivalent to four (4) hours; compensatory time option is described (paid based,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0026_sr_941d4d3c69684e783a145e5a.pdf#page=7,low,CALL_BACK_MIN_FOUR_HOURS_STRAIGHT_AND_TT,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_62bc129980b598ff18ea19d1,,true
nobs_d3fd8a95d4afabadfcec1a29,cex_8d814a0abd401374620e926b,doc_b80afd36a30dc09f0377c000,ttd_a705f5d8cf1fe447aa682174,sr_bc3d6cc5581c251833463d1f,NSCQ-MI-20260720-0058,MI,Taylor,CITY OF TAYLOR,non_safety,cba,,,11,leave,sequence of time off without pay penalties (absence and tardiness),,Absence and/or tardiness: record cleared; sequence applies within/after any six (6) month period and after any six (6) month period of the last previous disciplinary measure (details truncated).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0130_sr_bc3d6cc5581c251833463d1f.pdf#page=11,low,ABSENCE_TARDINESS_SEQUENCE_OF_TIME_OFF_W,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_d3fd8a95d4afabadfcec1a29,,true
nobs_b03378a2d57063b9e9b74ec6,cex_8d814a0abd401374620e926b,doc_b80afd36a30dc09f0377c000,ttd_a705f5d8cf1fe447aa682174,sr_bc3d6cc5581c251833463d1f,NSCQ-MI-20260720-0058,MI,Taylor,CITY OF TAYLOR,non_safety,cba,,,24,reimbursements,reimburse the cost of periodic renewal of CDL Licenses,,CDL Licenses periodic renewal reimbursement (cost of periodic renewal).,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0130_sr_bc3d6cc5581c251833463d1f.pdf#page=24,high,CDL_LICENSE_RENEWAL_REIMBURSEMENT,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_b03378a2d57063b9e9b74ec6,,true
nobs_73f3b59f2cfe1fe7d5d73d7d,cex_8d814a0abd401374620e926b,doc_b80afd36a30dc09f0377c000,ttd_a705f5d8cf1fe447aa682174,sr_bc3d6cc5581c251833463d1f,NSCQ-MI-20260720-0058,MI,Taylor,CITY OF TAYLOR,non_safety,cba,,,13,other,arbitration services and/or arbitration hearings shared equally; other party pays half,,Cost sharing between parties for arbitration services/hearings.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0130_sr_bc3d6cc5581c251833463d1f.pdf#page=13,high,ARBITRATION_HEARING_COST_SHARING,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_73f3b59f2cfe1fe7d5d73d7d,,true
nobs_b631228431a5733ed33a6f33,cex_ea0e9b9b593c1fad94b78302,doc_aeaf32c53b2e93f9d35da6b9,ttd_4345b0b24ee6b45b083c4c9d,sr_e14118d893cdf3ab597da609,NSCQ-MI-20260720-0055,MI,Taylor,CITY OF TAYLOR,police,cba,,,16,leave,"up to 12 weeks of unpaid, job-protected leave in a 12-month period; bond with a child (taken within one year); to bond/“",,Eligible employees who work for a covered employer can take specified FMLA leave amounts; includes qualifying serious health condition and care for child/parent/next of kin; also covers up to 26 weeks to care for a covered service member,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0091_sr_e14118d893cdf3ab597da609.pdf#page=16,medium,S4NB1_FMLA_UNPAID_JOB_PROTECTED_LEAVE_12,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_b631228431a5733ed33a6f33,,true
nobs_dd993fe30e800de2d77c0701,cex_ea0e9b9b593c1fad94b78302,doc_aeaf32c53b2e93f9d35da6b9,ttd_4345b0b24ee6b45b083c4c9d,sr_e14118d893cdf3ab597da609,NSCQ-MI-20260720-0055,MI,Taylor,CITY OF TAYLOR,police,cba,,,17,leave,FMLA leave may be taken intermittently or on a reduced schedule; employer may require or employee may choose to use all/,,"While on FMLA leave, employers must continue health insurance coverage as if not on leave; upon return, most employees restored to same or nearly identical job with equivalent pay/benefits/other terms; employer may not interfere with FMLA/",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0091_sr_e14118d893cdf3ab597da609.pdf#page=17,high,S4NB2_FMLA_INTERMITTENT_CONTINUE_INSURE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_dd993fe30e800de2d77c0701,,true
nobs_69cf998f9626716a8ead5b75,cex_ea0e9b9b593c1fad94b78302,doc_aeaf32c53b2e93f9d35da6b9,ttd_4345b0b24ee6b45b083c4c9d,sr_e14118d893cdf3ab597da609,NSCQ-MI-20260720-0055,MI,Taylor,CITY OF TAYLOR,police,cba,,,17,other,30-days' advance notice (generally) of the need for FMLA leave,,"If not possible to give 30-days notice, employee must notify the City when practicable; City requires certification/periodic recertification supporting the need for leave; if certification incomplete, City determines incompleteness per",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0091_sr_e14118d893cdf3ab597da609.pdf#page=17,high,S4NB3_FMLA_NOTICE_AND_CERTIFICATION_RULE,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_69cf998f9626716a8ead5b75,,true
nobs_7a5a7c05de08d81d0e46ceab,cex_ea0e9b9b593c1fad94b78302,doc_aeaf32c53b2e93f9d35da6b9,ttd_4345b0b24ee6b45b083c4c9d,sr_e14118d893cdf3ab597da609,NSCQ-MI-20260720-0055,MI,Taylor,CITY OF TAYLOR,police,cba,,,16,benefits,"No employee shall suffer a reduction in benefits as a consequence of execution of this Agreement, unless specifically",,Benefits maintained during term; no unilateral changes to wages/hours/benefits/conditions,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0091_sr_e14118d893cdf3ab597da609.pdf#page=16,high,S4NB4_NO_REDUCTION_IN_BENEFITS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_7a5a7c05de08d81d0e46ceab,,true
nobs_944b3e5b3102811d001f671e,cex_ea0e9b9b593c1fad94b78302,doc_aeaf32c53b2e93f9d35da6b9,ttd_4345b0b24ee6b45b083c4c9d,sr_e14118d893cdf3ab597da609,NSCQ-MI-20260720-0055,MI,Taylor,CITY OF TAYLOR,police,cba,,,15,pension,maintain ... pension benefits,,Deputy Chief maintains existing retiree health care and pension benefits,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0091_sr_e14118d893cdf3ab597da609.pdf#page=15,low,S4NB5_DEPUTYCHIEF_MAINTAIN_PENSION_BENEF,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_944b3e5b3102811d001f671e,,true
nobs_dd6b835efdfadf68c8d8f127,cex_34b684a9209ecd6ff1eaa31b,doc_5c4243988d22f37ed8ea25fe,ttd_4cdf9797d571accf281d08c7,sr_5bee41dcf82c87537cd17661,NSCQ-MI-20260720-0116,MI,Wyandotte,CITY OF WYANDOTTE,non_safety,cba,,,19,stipend,meal ticket,,after completion of ten (10) hours of work; meal tickets provided during the pay period worked,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0098_sr_5bee41dcf82c87537cd17661.pdf#page=19,high,P8B2B7A1_04,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_dd6b835efdfadf68c8d8f127,,true
nobs_82d98c44d0a4eec2499e98b5,cex_a7c9090459008905315bd791,doc_94c27eb60dac7dcdf009334a,ttd_ff493c38c8123b1a8da5c456,sr_2974386be227220ea05bf7a8,NSCQ-MI-20260720-0041,MI,Wyoming,CITY OF WYOMING,non_safety,cba,,,24,other,"Workers' compensation: employee paid the difference between workers' compensation benefits and net salary/wage; may use,",,Applies during workers' compensation benefits; employer may require employee to perform the benefits received; supplemental benefit maximum twenty-six (26)-week benefit period; net salary uses hourly rate only as established by premium/oat/,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0011_sr_2974386be227220ea05bf7a8.pdf#page=24,medium,ARTICLE15_WORKERS_COMPENSATION_DIFFER,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_82d98c44d0a4eec2499e98b5,,true
nobs_44a2d40ae84406f4c9fbc213,cex_a7c9090459008905315bd791,doc_94c27eb60dac7dcdf009334a,ttd_ff493c38c8123b1a8da5c456,sr_2974386be227220ea05bf7a8,NSCQ-MI-20260720-0041,MI,Wyoming,CITY OF WYOMING,non_safety,cba,,,23,leave,Bereavement (time off with pay): up to three (3) days; spouse/child five (5) days; miscarriage or still birth five (5) ,,Pay eligibility depends on specified relationship(s); employee may elect additional two (2) days from sick time (total three (3)); other funeral attendance may be time off without pay (includes five (5) successive workdays with one (1) day為,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0011_sr_2974386be227220ea05bf7a8.pdf#page=23,high,ARTICLE14_BEREAVEMENT_DAY_COUNTS,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_44a2d40ae84406f4c9fbc213,,true
nobs_ce03970771f03fc534c8c3ce,cex_a7c9090459008905315bd791,doc_94c27eb60dac7dcdf009334a,ttd_ff493c38c8123b1a8da5c456,sr_2974386be227220ea05bf7a8,NSCQ-MI-20260720-0041,MI,Wyoming,CITY OF WYOMING,non_safety,cba,,,23,other,Workers' compensation benefits continuation: up to and including one full calendar month all benefits received/accrued; ,,"Second calendar month up to but not exceeding twenty-six (26) weeks: holiday pay and personal leave days excluded; after twenty-six (26) weeks: seniority, life insurance, and health insurance continue.",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0011_sr_2974386be227220ea05bf7a8.pdf#page=23,high,ARTICLE15_WORKERS_COMPENSATION_CONTINU,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_ce03970771f03fc534c8c3ce,,true
nobs_9f1e1b9f8e00d08d82c8dc0a,cex_a7c9090459008905315bd791,doc_94c27eb60dac7dcdf009334a,ttd_ff493c38c8123b1a8da5c456,sr_2974386be227220ea05bf7a8,NSCQ-MI-20260720-0041,MI,Wyoming,CITY OF WYOMING,non_safety,cba,,,25,other,Jury duty: paid leave of absence granted; employer reimburses mileage to and from court order/assigned trade.,,Only when employee is not a party; leave depends on court order; reimbursement for mileage to and from approved trade.,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0011_sr_2974386be227220ea05bf7a8.pdf#page=25,medium,ARTICLE17_JURY_DUTY_MILEAGE_REIMB,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_9f1e1b9f8e00d08d82c8dc0a,,true
nobs_75da409d390324c1083d5bb1,cex_a7c9090459008905315bd791,doc_94c27eb60dac7dcdf009334a,ttd_ff493c38c8123b1a8da5c456,sr_2974386be227220ea05bf7a8,NSCQ-MI-20260720-0041,MI,Wyoming,CITY OF WYOMING,non_safety,cba,,,25,leave,"Vacations: accumulation of vacation limited to three (3) years (effective January 1, 2013); probationary employee who","January 1, 2013",Probationary employee leaving employment not entitled to vacation pay (as stated).,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0011_sr_2974386be227220ea05bf7a8.pdf#page=25,low,ARTICLE18_VACATION_EFFECTIVE_LIMITS_PART,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_75da409d390324c1083d5bb1,,true
nobs_10d4661e11c8ec9a5aaf9c31,cex_26be31debabd90daa9246cd8,doc_9ac737d5ab546c4892ae5d08,ttd_5dce6d9e629300249563b007,sr_2bda8dc79b8ae343c4f650f7,NSCQ-MI-20260720-0039,MI,Wyoming,CITY OF WYOMING,police,cba,,,2,overtime,Call Out,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0005_sr_2bda8dc79b8ae343c4f650f7.pdf#page=2,unknown,AOTERMS_INDEX_TOKEN_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_10d4661e11c8ec9a5aaf9c31,,true
nobs_7e2429be895904852bf08554,cex_26be31debabd90daa9246cd8,doc_9ac737d5ab546c4892ae5d08,ttd_5dce6d9e629300249563b007,sr_2bda8dc79b8ae343c4f650f7,NSCQ-MI-20260720-0039,MI,Wyoming,CITY OF WYOMING,police,cba,,,2,leave,Compensatory Time,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0005_sr_2bda8dc79b8ae343c4f650f7.pdf#page=2,unknown,AOTERMS_INDEX_TOKEN_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_7e2429be895904852bf08554,,true
nobs_5876fbb6ee2a9b32752469e7,cex_26be31debabd90daa9246cd8,doc_9ac737d5ab546c4892ae5d08,ttd_5dce6d9e629300249563b007,sr_2bda8dc79b8ae343c4f650f7,NSCQ-MI-20260720-0039,MI,Wyoming,CITY OF WYOMING,police,cba,,,2,pension,Defined Benefit (Pension),,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0005_sr_2bda8dc79b8ae343c4f650f7.pdf#page=2,unknown,AOTERMS_INDEX_TOKEN_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_5876fbb6ee2a9b32752469e7,,true
nobs_34deb3ff41c2428af707c9f2,cex_26be31debabd90daa9246cd8,doc_9ac737d5ab546c4892ae5d08,ttd_5dce6d9e629300249563b007,sr_2bda8dc79b8ae343c4f650f7,NSCQ-MI-20260720-0039,MI,Wyoming,CITY OF WYOMING,police,cba,,,2,pension,Defined Contribution Plan (Pension),,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0005_sr_2bda8dc79b8ae343c4f650f7.pdf#page=2,unknown,AOTERMS_INDEX_TOKEN_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_34deb3ff41c2428af707c9f2,,true
nobs_0a4e994f730c6a54311b00a9,cex_26be31debabd90daa9246cd8,doc_9ac737d5ab546c4892ae5d08,ttd_5dce6d9e629300249563b007,sr_2bda8dc79b8ae343c4f650f7,NSCQ-MI-20260720-0039,MI,Wyoming,CITY OF WYOMING,police,cba,,,2,benefits,Affordable Care Act,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0005_sr_2bda8dc79b8ae343c4f650f7.pdf#page=2,unknown,AOTERMS_INDEX_TOKEN_ONLY,needs_review,,needs_review,,not_in_targeted_queue,not_applicable,nobs_0a4e994f730c6a54311b00a9,,true
nobs_7a9923aa08a97994e1c21766,cex_dc8ca1ca223426bc2c51fb4a,doc_e90d33037f617b12f5e4453c,ttd_ba44f9966629c00ea66e7582,sr_d0a129ffeb7507b7401b63b4,NSCQ-MI-20260720-0136,MI,Ypsilanti,CITY OF YPSILANTI,non_safety,cba,,,29,leave,Paid the difference between reserve pay and regular pay (full time active duty; proof submitted; maximum two weeks pered,,Applies to employees in Armed Forces Reserve or National Guard on full time active duty; proof of service and pay submitted; maximum of two weeks per year.,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0120_sr_d0a129ffeb7507b7401b63b4.pdf#page=29,medium,CBA49A9B7D8A1,provisional_unverified,,provisional_unverified,,not_in_targeted_queue,not_applicable,nobs_7a9923aa08a97994e1c21766,,true
